blockLoop_thisRepN	trialLoop_thisRepN	trigger	firstKey	readyKey_corr	readyKey_rt	targetKey	blockType	margin	outcome	trialResp_keys	trialResp_corr	trialResp_rt
0	0	45	f	1	2.778092906810343	f	5	0.1	0	f	1	0.5626732329837978
0	1	65	n/a	n/a	n/a	j	5	0.11	1	j	1	0.6288754169363528
0	2	85	n/a	n/a	n/a	f	5	0.1	1	f	1	0.5702046838123351
0	3	85	n/a	n/a	n/a	f	5	0.09000000000000001	1	f	1	0.624518254538998
0	4	85	n/a	n/a	n/a	f	5	0.08000000000000002	1	f	1	0.5566616433206946
0	5	85	n/a	n/a	n/a	j	5	0.07000000000000002	1	j	1	0.593340152874589
0	6	85	n/a	n/a	n/a	f	5	0.06000000000000002	1	f	1	0.5763365852180868
0	7	85	n/a	n/a	n/a	f	5	0.05000000000000002	1	f	1	0.638218384468928
0	8	85	n/a	n/a	n/a	f	5	0.04000000000000001	2	f	1	0.532163972966373
0	9	105	n/a	n/a	n/a	j	5	0.05000000000000002	1	j	1	0.5391463234554976
0	10	85	n/a	n/a	n/a	f	5	0.04000000000000001	0	f	1	0.5939553957432508
0	11	65	n/a	n/a	n/a	f	5	0.05000000000000002	1	f	1	0.6114097044337541
0	12	85	n/a	n/a	n/a	f	5	0.04000000000000001	1	f	1	0.561835328117013
0	13	85	n/a	n/a	n/a	j	5	0.03000000000000001	1	j	1	0.5892079332843423
0	14	85	n/a	n/a	n/a	f	5	0.02000000000000001	1	f	1	0.5232332581654191
0	15	85	n/a	n/a	n/a	f	5	0.01000000000000001	0	f	1	0.6250816094689071
0	16	65	n/a	n/a	n/a	f	5	0.02000000000000001	2	f	1	0.5760437888093293
0	17	105	n/a	n/a	n/a	j	5	0.03000000000000001	1	j	1	0.5882434446830302
0	18	85	n/a	n/a	n/a	f	5	0.02000000000000001	1	f	1	0.5530246398411691
0	19	85	n/a	n/a	n/a	f	5	0.01000000000000001	0	f	1	0.5877496537286788
0	20	65	n/a	n/a	n/a	f	5	0.02000000000000001	1	f	1	0.5455382347572595
0	21	85	n/a	n/a	n/a	j	5	0.01000000000000001	0	j	1	0.5825263615697622
0	22	65	n/a	n/a	n/a	f	5	0.02000000000000001	1	f	1	0.5708769464399666
0	23	85	n/a	n/a	n/a	f	5	0.01000000000000001	0	f	1	0.6348909982480109
0	24	65	n/a	n/a	n/a	f	5	0.02000000000000001	2	f	1	0.5268389005213976
0	25	105	n/a	n/a	n/a	j	5	0.03000000000000001	0	j	1	0.516894374974072
0	26	65	n/a	n/a	n/a	f	5	0.04000000000000001	0	f	1	0.5706887813284993
0	27	65	n/a	n/a	n/a	f	5	0.05000000000000002	1	f	1	0.6097490049432963
0	28	85	n/a	n/a	n/a	f	5	0.04000000000000001	1	f	1	0.5347227330785245
0	29	85	n/a	n/a	n/a	j	5	0.03000000000000001	0	j	1	0.5747177950106561
0	30	65	n/a	n/a	n/a	f	5	0.04000000000000001	1	f	1	0.532772658392787
0	31	85	n/a	n/a	n/a	f	5	0.03000000000000001	0	f	1	0.6335062740836293
0	32	65	n/a	n/a	n/a	f	5	0.04000000000000001	2	f	1	0.5438498805742711
0	33	105	n/a	n/a	n/a	j	5	0.05000000000000002	1	j	1	0.5420814140234143
0	34	85	n/a	n/a	n/a	f	5	0.04000000000000001	0	f	1	0.5945546729490161
0	35	65	n/a	n/a	n/a	f	5	0.05000000000000002	1	f	1	0.639411237090826
0	36	85	n/a	n/a	n/a	f	5	0.04000000000000001	2	f	1	0.5336199714802206
0	37	105	n/a	n/a	n/a	j	5	0.05000000000000002	1	j	1	0.5792135156225413
0	38	85	n/a	n/a	n/a	f	5	0.04000000000000001	1	f	1	0.5442855113651603
0	39	85	n/a	n/a	n/a	f	5	0.03000000000000001	0	f	1	0.5913179481867701
0	40	65	n/a	n/a	n/a	f	5	0.04000000000000001	1	f	1	0.5412922608666122
0	41	85	n/a	n/a	n/a	j	5	0.03000000000000001	0	j	1	0.6280289592687041
0	42	65	n/a	n/a	n/a	f	5	0.04000000000000001	2	f	1	0.5621227077208459
0	43	105	n/a	n/a	n/a	f	5	0.05000000000000002	1	f	1	0.5901487588416785
0	44	85	n/a	n/a	n/a	f	5	0.04000000000000001	1	f	1	0.5653659896925092
0	45	85	n/a	n/a	n/a	j	5	0.03000000000000001	1	j	1	0.6017220527864993
0	46	85	n/a	n/a	n/a	f	5	0.02000000000000001	1	f	1	0.5747004041913897
0	47	85	n/a	n/a	n/a	f	5	0.01000000000000001	0	f	1	0.5950735525693744
0	48	65	n/a	n/a	n/a	f	5	0.02000000000000001	1	f	1	0.5700156632810831
0	49	85	n/a	n/a	n/a	j	5	0.01000000000000001	0	j	1	0.5850400764029473
0	50	65	n/a	n/a	n/a	f	5	0.02000000000000001	1	f	1	0.574988923734054
0	51	85	n/a	n/a	n/a	f	5	0.01000000000000001	1	f	1	0.6299471028614789
0	52	85	n/a	n/a	n/a	f	5	1.040834085586084e-17	2	f	1	0.5089195959735662
0	53	105	n/a	n/a	n/a	j	5	0.01000000000000001	0	j	1	0.6019010946620256
0	54	65	n/a	n/a	n/a	f	5	0.02000000000000001	1	f	1	0.5844630366191268
0	55	85	n/a	n/a	n/a	f	5	0.01000000000000001	1	f	1	0.610747990431264
0	56	85	n/a	n/a	n/a	f	5	1.040834085586084e-17	2	f	1	0.5707261289935559
0	57	105	n/a	n/a	n/a	j	5	0.01000000000000001	0	j	1	0.5937210447154939
0	58	65	n/a	n/a	n/a	f	5	0.02000000000000001	1	f	1	0.5743460264056921
0	59	85	n/a	n/a	n/a	f	5	0.01000000000000001	1	f	1	0.6208350653760135
0	60	85	n/a	n/a	n/a	f	5	1.040834085586084e-17	2	f	1	0.5536441593430936
0	61	105	n/a	n/a	n/a	j	5	0.01000000000000001	0	j	1	0.5906605108175427
0	62	65	n/a	n/a	n/a	f	5	0.02000000000000001	1	f	1	0.5876413162332028
0	63	85	n/a	n/a	n/a	f	5	0.01000000000000001	1	f	1	0.6745105853769928
0	64	85	n/a	n/a	n/a	f	5	1.040834085586084e-17	2	f	1	0.4394929462578148
0	65	105	n/a	n/a	n/a	j	5	0.01000000000000001	0	j	1	0.5726405663881451
