blockLoop_thisRepN	trialLoop_thisRepN	trigger	firstKey	readyKey_corr	readyKey_rt	targetKey	blockType	margin	outcome	trialResp_keys	trialResp_corr	trialResp_rt
0	0	51	f	1	128.7214882001281	f	11	0.1	0	f	1	0.7923050891258754
0	1	71	n/a	n/a	n/a	f	11	0.11	0	f	1	0.8110475749708712
0	2	71	n/a	n/a	n/a	j	11	0.12	0	j	1	0.7743343694892246
0	3	71	n/a	n/a	n/a	f	11	0.13	0	f	1	0.8408744706830475
0	4	71	n/a	n/a	n/a	f	11	0.14	0	f	1	0.7647079619055148
0	5	71	n/a	n/a	n/a	f	11	0.15	0	f	1	0.7038767067133449
0	6	71	n/a	n/a	n/a	f	11	0.16	0	f	1	0.7306627239158843
0	7	71	n/a	n/a	n/a	f	11	0.17	0	f	1	0.7575043356628157
0	8	71	n/a	n/a	n/a	j	11	0.18	0	j	1	0.8475093220768031
0	9	71	n/a	n/a	n/a	f	11	0.1900000000000001	1	f	1	0.9145052984240465
0	10	91	n/a	n/a	n/a	f	11	0.18	1	f	1	0.7814239556610119
0	11	91	n/a	n/a	n/a	f	11	0.17	0	f	1	0.8720510306593496
0	12	71	n/a	n/a	n/a	f	11	0.18	1	f	1	0.9152682265266776
0	13	91	n/a	n/a	n/a	f	11	0.17	1	f	1	0.8861800253798719
0	14	91	n/a	n/a	n/a	j	11	0.16	1	j	1	0.8411732556705829
0	15	91	n/a	n/a	n/a	f	11	0.15	1	f	1	0.8686435132985935
0	16	91	n/a	n/a	n/a	f	11	0.14	1	f	1	0.8639564663462806
0	17	91	n/a	n/a	n/a	f	11	0.13	1	f	1	0.8750651097507216
0	18	91	n/a	n/a	n/a	f	11	0.12	1	f	1	0.8059978805540595
0	19	91	n/a	n/a	n/a	f	11	0.11	0	f	1	0.8330892400699668
0	20	71	n/a	n/a	n/a	j	11	0.12	0	j	1	0.795668701059185
0	21	71	n/a	n/a	n/a	f	11	0.13	0	f	1	0.9508738178119529
0	22	71	n/a	n/a	n/a	f	11	0.14	1	f	1	0.8988284948572982
0	23	91	n/a	n/a	n/a	f	11	0.13	1	f	1	0.9327762285538483
0	24	91	n/a	n/a	n/a	f	11	0.12	1	f	1	0.8955330218595918
0	25	91	n/a	n/a	n/a	f	11	0.11	1	f	1	0.9066276953672059
0	26	91	n/a	n/a	n/a	j	11	0.1	1	j	1	0.9335317440563813
0	27	91	n/a	n/a	n/a	f	11	0.09000000000000002	1	f	1	0.8724017038475722
0	28	91	n/a	n/a	n/a	f	11	0.08000000000000003	0	f	1	0.875455126806628
0	29	71	n/a	n/a	n/a	f	11	0.09000000000000002	0	f	1	0.8783933692320716
0	30	71	n/a	n/a	n/a	f	11	0.1	0	f	1	0.9768815115385223
0	31	71	n/a	n/a	n/a	f	11	0.11	1	f	1	0.9482910952647217
0	32	91	n/a	n/a	n/a	j	11	0.1	1	f	0	0.9524133587838151
0	33	131	n/a	n/a	n/a	f	11	0.09000000000000002	1	f	1	0.9868802599085029
0	34	91	n/a	n/a	n/a	f	11	0.08000000000000003	1	f	1	0.9656231905100867
0	35	91	n/a	n/a	n/a	f	11	0.07000000000000003	1	f	1	0.9852366573759355
0	36	91	n/a	n/a	n/a	f	11	0.06000000000000003	1	f	1	0.9635758861259092
0	37	91	n/a	n/a	n/a	f	11	0.05000000000000003	1	f	1	0.9106866666406859
0	38	91	n/a	n/a	n/a	j	11	0.04000000000000003	0	j	1	0.9546562418690883
0	39	71	n/a	n/a	n/a	f	11	0.05000000000000003	1	f	1	0.9109438270097598
0	40	91	n/a	n/a	n/a	f	11	0.04000000000000003	0	f	1	0.9458321062265895
0	41	71	n/a	n/a	n/a	f	11	0.05000000000000003	1	f	1	1.004891463788226
0	42	91	n/a	n/a	n/a	f	11	0.04000000000000003	1	f	1	0.8557179264316801
0	43	91	n/a	n/a	n/a	f	11	0.03000000000000003	0	f	1	0.8678740278992336
0	44	71	n/a	n/a	n/a	j	11	0.04000000000000003	0	j	1	1.006276480446104
0	45	71	n/a	n/a	n/a	f	11	0.05000000000000003	1	f	1	1.041242592036724
0	46	91	n/a	n/a	n/a	f	11	0.04000000000000003	2	f	1	0.8842074172280263
0	47	111	n/a	n/a	n/a	f	11	0.05000000000000003	0	f	1	0.9431969252473209
0	48	71	n/a	n/a	n/a	f	11	0.06000000000000003	1	f	1	1.13043732373626
0	49	91	n/a	n/a	n/a	f	11	0.05000000000000003	2	f	1	0.9822667688131332
0	50	111	n/a	n/a	n/a	j	11	0.06000000000000003	1	j	1	1.001273542497074
