onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
1.894	0.001	1895	Stimulus	S  6
2.499	0.001	2500	Stimulus	S  6
3.101	0.001	3102	Stimulus	S  6
3.708	0.001	3709	Stimulus	S  6
4.32	0.001	4321	Stimulus	S  6
4.925	0.001	4926	Stimulus	S  6
5.535	0.001	5536	Stimulus	S  6
6.141	0.001	6142	Stimulus	S  6
6.753	0.001	6754	Stimulus	S  6
7.359	0.001	7360	Stimulus	S  6
7.964	0.001	7965	Stimulus	S  6
8.576	0.001	8577	Stimulus	S  6
9.184	0.001	9185	Stimulus	S  6
9.792	0.001	9793	Stimulus	S  6
10.397	0.001	10398	Stimulus	S  6
11.004	0.001	11005	Stimulus	S  6
11.612	0.001	11613	Stimulus	S  6
12.218	0.001	12219	Stimulus	S  6
12.83	0.001	12831	Stimulus	S  6
13.443	0.001	13444	Stimulus	S  6
14.048	0.001	14049	Stimulus	S  6
14.654	0.001	14655	Stimulus	S  6
15.262	0.001	15263	Stimulus	S  6
15.874	0.001	15875	Stimulus	S  6
16.492	0.001	16493	Stimulus	S 26
49.198	0.001	49199	Stimulus	S 46
49.841	0.001	49842	Stimulus	S 66
50.484	0.001	50485	Stimulus	S 86
51.133	0.001	51134	Stimulus	S 86
51.775	0.001	51776	Stimulus	S 86
52.393	0.001	52394	Stimulus	S 86
52.979	0.001	52980	Stimulus	S 86
53.612	0.001	53613	Stimulus	S 86
54.246	0.001	54247	Stimulus	S 86
54.855	0.001	54856	Stimulus	S 86
55.457	0.001	55458	Stimulus	S 86
56.098	0.001	56099	Stimulus	S 86
56.747	0.001	56748	Stimulus	S106
57.436	0.001	57437	Stimulus	S106
58.029	0.001	58030	Stimulus	S106
58.638	0.001	58639	Stimulus	S 86
59.247	0.001	59248	Stimulus	S 86
59.856	0.001	59857	Stimulus	S 86
60.462	0.001	60463	Stimulus	S 86
61.065	0.001	61066	Stimulus	S 66
61.657	0.001	61658	Stimulus	S 86
62.338	0.001	62339	Stimulus	S 66
63.013	0.001	63014	Stimulus	S106
63.702	0.001	63703	Stimulus	S106
64.352	0.001	64353	Stimulus	S106
64.978	0.001	64979	Stimulus	S106
65.554	0.001	65555	Stimulus	S 86
66.155	0.001	66156	Stimulus	S 86
66.812	0.001	66813	Stimulus	S 86
67.46	0.001	67461	Stimulus	S106
68.077	0.001	68078	Stimulus	S106
68.694	0.001	68695	Stimulus	S 86
69.342	0.001	69343	Stimulus	S 86
69.999	0.001	70000	Stimulus	S106
70.635	0.001	70636	Stimulus	S106
71.227	0.001	71228	Stimulus	S 86
71.876	0.001	71877	Stimulus	S 86
72.517	0.001	72518	Stimulus	S106
73.134	0.001	73135	Stimulus	S106
73.696	0.001	73697	Stimulus	S 86
74.355	0.001	74356	Stimulus	S 66
75.164	0.001	75165	Stimulus	S126
75.3	0.001	75301	Stimulus	S126
77.933	0.001	77934	Stimulus	S 66
78.56	0.001	78561	Stimulus	S106
79.145	0.001	79146	Stimulus	S126
79.794	0.001	79795	Stimulus	S126
81.564	0.001	81565	Stimulus	S 86
82.341	0.001	82342	Stimulus	S106
82.998	0.001	82999	Stimulus	S106
83.64	0.001	83641	Stimulus	S126
84.305	0.001	84306	Stimulus	S 86
84.954	0.001	84955	Stimulus	S106
85.635	0.001	85636	Stimulus	S 86
86.229	0.001	86230	Stimulus	S106
86.853	0.001	86854	Stimulus	S 86
87.518	0.001	87519	Stimulus	S 86
88.16	0.001	88161	Stimulus	S106
88.786	0.001	88787	Stimulus	S 86
89.374	0.001	89375	Stimulus	S 86
90	0.001	90001	Stimulus	S 86
90.674	0.001	90675	Stimulus	S 86
91.308	0.001	91309	Stimulus	S106
91.895	0.001	91896	Stimulus	S106
92.561	0.001	92562	Stimulus	S 86
96.618	0.001	96619	Stimulus	S106
97.324	0.001	97325	Stimulus	S126
98.213	0.001	98214	Stimulus	S126
99.118	0.001	99119	Stimulus	S106
99.766	0.001	99767	Stimulus	S106
100.455	0.001	100456	Stimulus	S126
101.097	0.001	101098	Stimulus	S106
180.631	0.001	180632	Stimulus	S 12
181.639	0.001	181640	Stimulus	S 12
182.643	0.001	182644	Stimulus	S 12
183.65	0.001	183651	Stimulus	S 12
184.655	0.001	184656	Stimulus	S 12
185.661	0.001	185662	Stimulus	S 12
186.671	0.001	186672	Stimulus	S 12
187.678	0.001	187679	Stimulus	S 12
188.687	0.001	188688	Stimulus	S 12
189.696	0.001	189697	Stimulus	S 12
190.704	0.001	190705	Stimulus	S 12
191.709	0.001	191710	Stimulus	S 12
192.715	0.001	192716	Stimulus	S 12
193.724	0.001	193725	Stimulus	S 12
194.73	0.001	194731	Stimulus	S 12
195.736	0.001	195737	Stimulus	S 12
196.747	0.001	196748	Stimulus	S 12
197.756	0.001	197757	Stimulus	S 12
198.764	0.001	198765	Stimulus	S 12
199.769	0.001	199770	Stimulus	S 12
200.776	0.001	200777	Stimulus	S 12
201.781	0.001	201782	Stimulus	S 12
202.786	0.001	202787	Stimulus	S 12
203.792	0.001	203793	Stimulus	S 12
204.8	0.001	204801	Stimulus	S 32
207.013	0.001	207014	Stimulus	S 92
208	0.001	208001	Stimulus	S 72
208.986	0.001	208987	Stimulus	S 92
209.995	0.001	209996	Stimulus	S132
210.964	0.001	210965	Stimulus	S 92
211.948	0.001	211949	Stimulus	S 92
212.909	0.001	212910	Stimulus	S 92
213.846	0.001	213847	Stimulus	S 92
214.816	0.001	214817	Stimulus	S 72
215.786	0.001	215787	Stimulus	S 92
216.774	0.001	216775	Stimulus	S 92
217.711	0.001	217712	Stimulus	S 92
218.679	0.001	218680	Stimulus	S 72
219.72	0.001	219721	Stimulus	S 92
220.657	0.001	220658	Stimulus	S112
221.586	0.001	221587	Stimulus	S 72
222.571	0.001	222572	Stimulus	S 72
223.467	0.001	223468	Stimulus	S 92
224.444	0.001	224445	Stimulus	S 72
225.406	0.001	225407	Stimulus	S 92
226.448	0.001	226449	Stimulus	S 92
227.505	0.001	227506	Stimulus	S 92
228.524	0.001	228525	Stimulus	S112
229.486	0.001	229487	Stimulus	S 92
230.4	0.001	230401	Stimulus	S 72
231.377	0.001	231378	Stimulus	S 72
232.382	0.001	232383	Stimulus	S 92
233.461	0.001	233462	Stimulus	S 92
234.483	0.001	234484	Stimulus	S112
236.437	0.001	236438	Stimulus	S 92
237.367	0.001	237368	Stimulus	S112
238.32	0.001	238321	Stimulus	S 72
239.256	0.001	239257	Stimulus	S 72
240.161	0.001	240162	Stimulus	S132
241.129	0.001	241130	Stimulus	S 72
242.081	0.001	242082	Stimulus	S 92
242.98	0.001	242981	Stimulus	S 92
243.9	0.001	243901	Stimulus	S 72
244.917	0.001	244918	Stimulus	S 72
245.959	0.001	245960	Stimulus	S 92
246.968	0.001	246969	Stimulus	S 92
247.937	0.001	247938	Stimulus	S 92
248.954	0.001	248955	Stimulus	S 92
250.02	0.001	250021	Stimulus	S 92
250.973	0.001	250974	Stimulus	S112
251.96	0.001	251961	Stimulus	S 72
252.97	0.001	252971	Stimulus	S 92
253.98	0.001	253981	Stimulus	S 92
254.9	0.001	254901	Stimulus	S 92
255.917	0.001	255918	Stimulus	S 72
256.933	0.001	256934	Stimulus	S 92
257.896	0.001	257897	Stimulus	S 92
258.913	0.001	258914	Stimulus	S 72
260.026	0.001	260027	Stimulus	S 92
261.035	0.001	261036	Stimulus	S112
261.965	0.001	261966	Stimulus	S 92
262.975	0.001	262976	Stimulus	S 72
264.026	0.001	264027	Stimulus	S 92
264.978	0.001	264979	Stimulus	S112
265.966	0.001	265967	Stimulus	S 72
266.841	0.001	266842	Stimulus	S 92
267.738	0.001	267739	Stimulus	S 72
268.811	0.001	268812	Stimulus	S 72
270.828	0.001	270829	Stimulus	S112
271.868	0.001	271869	Stimulus	S112
272.83	0.001	272831	Stimulus	S 92
273.791	0.001	273792	Stimulus	S 92
274.77	0.001	274771	Stimulus	S 72
275.725	0.001	275726	Stimulus	S 92
276.743	0.001	276744	Stimulus	S 72
277.745	0.001	277746	Stimulus	S 92
278.747	0.001	278748	Stimulus	S 92
287.685	0.001	287686	Stimulus	S  1
288.092	0.001	288093	Stimulus	S  1
288.498	0.001	288499	Stimulus	S  1
288.903	0.001	288904	Stimulus	S  1
289.309	0.001	289310	Stimulus	S  1
289.721	0.001	289722	Stimulus	S  1
290.13	0.001	290131	Stimulus	S  1
290.542	0.001	290543	Stimulus	S  1
290.947	0.001	290948	Stimulus	S  1
291.352	0.001	291353	Stimulus	S  1
291.765	0.001	291766	Stimulus	S  1
292.171	0.001	292172	Stimulus	S  1
292.578	0.001	292579	Stimulus	S  1
292.986	0.001	292987	Stimulus	S  1
293.398	0.001	293399	Stimulus	S  1
293.803	0.001	293804	Stimulus	S  1
294.215	0.001	294216	Stimulus	S  1
