onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
55.112	0.001	55113	Stimulus	S  9
56.116	0.001	56117	Stimulus	S  9
57.124	0.001	57125	Stimulus	S  9
58.134	0.001	58135	Stimulus	S  9
59.14	0.001	59141	Stimulus	S  9
60.145	0.001	60146	Stimulus	S  9
61.151	0.001	61152	Stimulus	S  9
62.157	0.001	62158	Stimulus	S  9
63.163	0.001	63164	Stimulus	S  9
64.173	0.001	64174	Stimulus	S  9
65.181	0.001	65182	Stimulus	S  9
66.183	0.001	66184	Stimulus	S  9
67.19	0.001	67191	Stimulus	S  9
68.2	0.001	68201	Stimulus	S  9
69.207	0.001	69208	Stimulus	S  9
70.209	0.001	70210	Stimulus	S  9
71.218	0.001	71219	Stimulus	S  9
72.223	0.001	72224	Stimulus	S  9
73.228	0.001	73229	Stimulus	S  9
74.238	0.001	74239	Stimulus	S  9
75.246	0.001	75247	Stimulus	S  9
76.256	0.001	76257	Stimulus	S  9
77.26	0.001	77261	Stimulus	S  9
78.27	0.001	78271	Stimulus	S  9
79.288	0.001	79289	Stimulus	S 29
80.961	0.001	80962	Stimulus	S 49
81.966	0.001	81967	Stimulus	S 69
83.059	0.001	83060	Stimulus	S 89
84.175	0.001	84176	Stimulus	S 89
85.275	0.001	85276	Stimulus	S109
86.4	0.001	86401	Stimulus	S 89
87.524	0.001	87525	Stimulus	S109
88.568	0.001	88569	Stimulus	S109
89.548	0.001	89549	Stimulus	S 89
90.687	0.001	90688	Stimulus	S 89
91.756	0.001	91757	Stimulus	S109
92.863	0.001	92864	Stimulus	S 89
93.924	0.001	93925	Stimulus	S109
95.023	0.001	95024	Stimulus	S 89
96.113	0.001	96114	Stimulus	S109
97.157	0.001	97158	Stimulus	S 89
98.224	0.001	98225	Stimulus	S 89
99.308	0.001	99309	Stimulus	S 89
100.362	0.001	100363	Stimulus	S109
101.374	0.001	101375	Stimulus	S 89
102.338	0.001	102339	Stimulus	S 89
103.342	0.001	103343	Stimulus	S 89
104.386	0.001	104387	Stimulus	S 89
105.487	0.001	105488	Stimulus	S 89
106.467	0.001	106468	Stimulus	S109
107.421	0.001	107422	Stimulus	S 89
108.403	0.001	108404	Stimulus	S 69
109.365	0.001	109366	Stimulus	S 89
110.384	0.001	110385	Stimulus	S 69
111.498	0.001	111499	Stimulus	S 89
112.486	0.001	112487	Stimulus	S109
113.538	0.001	113539	Stimulus	S 89
114.548	0.001	114549	Stimulus	S109
115.601	0.001	115602	Stimulus	S 89
116.683	0.001	116684	Stimulus	S109
117.738	0.001	117739	Stimulus	S109
118.874	0.001	118875	Stimulus	S 89
119.87	0.001	119871	Stimulus	S109
120.799	0.001	120800	Stimulus	S 89
121.836	0.001	121837	Stimulus	S 69
122.825	0.001	122826	Stimulus	S 89
123.796	0.001	123797	Stimulus	S 89
124.831	0.001	124832	Stimulus	S 69
125.85	0.001	125851	Stimulus	S 89
126.867	0.001	126868	Stimulus	S 89
127.807	0.001	127808	Stimulus	S 89
128.881	0.001	128882	Stimulus	S 69
129.91	0.001	129911	Stimulus	S109
130.855	0.001	130856	Stimulus	S 89
131.915	0.001	131916	Stimulus	S 69
132.92	0.001	132921	Stimulus	S109
133.962	0.001	133963	Stimulus	S 89
135.003	0.001	135004	Stimulus	S109
136.014	0.001	136015	Stimulus	S 89
137.031	0.001	137032	Stimulus	S 89
137.966	0.001	137967	Stimulus	S 89
139.026	0.001	139027	Stimulus	S 69
140.001	0.001	140002	Stimulus	S109
140.934	0.001	140935	Stimulus	S 69
141.91	0.001	141911	Stimulus	S 69
142.904	0.001	142905	Stimulus	S 89
143.89	0.001	143891	Stimulus	S 89
144.966	0.001	144967	Stimulus	S 89
149.233	0.001	149234	Stimulus	S109
150.188	0.001	150189	Stimulus	S109
151.15	0.001	151151	Stimulus	S 69
152.152	0.001	152153	Stimulus	S 89
153.147	0.001	153148	Stimulus	S 89
154.213	0.001	154214	Stimulus	S 89
155.257	0.001	155258	Stimulus	S109
156.301	0.001	156302	Stimulus	S109
157.394	0.001	157395	Stimulus	S 89
162.885	0.001	162886	Stimulus	S  3
163.287	0.001	163288	Stimulus	S  3
163.691	0.001	163692	Stimulus	S  3
164.1	0.001	164101	Stimulus	S  3
164.505	0.001	164506	Stimulus	S  3
164.914	0.001	164915	Stimulus	S  3
165.317	0.001	165318	Stimulus	S  3
165.725	0.001	165726	Stimulus	S  3
166.134	0.001	166135	Stimulus	S  3
166.543	0.001	166544	Stimulus	S  3
166.952	0.001	166953	Stimulus	S  3
167.36	0.001	167361	Stimulus	S  3
167.768	0.001	167769	Stimulus	S  3
168.176	0.001	168177	Stimulus	S  3
168.58	0.001	168581	Stimulus	S  3
168.983	0.001	168984	Stimulus	S  3
169.393	0.001	169394	Stimulus	S  3
169.802	0.001	169803	Stimulus	S  3
170.212	0.001	170213	Stimulus	S  3
170.62	0.001	170621	Stimulus	S  3
171.028	0.001	171029	Stimulus	S  3
171.438	0.001	171439	Stimulus	S  3
171.846	0.001	171847	Stimulus	S  3
172.25	0.001	172251	Stimulus	S  3
172.656	0.001	172657	Stimulus	S 23
174.297	0.001	174298	Stimulus	S103
174.717	0.001	174718	Stimulus	S103
175.119	0.001	175120	Stimulus	S 83
175.555	0.001	175556	Stimulus	S 83
175.955	0.001	175956	Stimulus	S 83
176.31	0.001	176311	Stimulus	S 83
176.776	0.001	176777	Stimulus	S 83
177.189	0.001	177190	Stimulus	S 83
177.599	0.001	177600	Stimulus	S 83
178.025	0.001	178026	Stimulus	S 83
178.488	0.001	178489	Stimulus	S 83
178.859	0.001	178860	Stimulus	S103
179.303	0.001	179304	Stimulus	S 63
179.738	0.001	179739	Stimulus	S 83
180.171	0.001	180172	Stimulus	S 83
180.605	0.001	180606	Stimulus	S103
181.072	0.001	181073	Stimulus	S 83
181.448	0.001	181449	Stimulus	S103
181.897	0.001	181898	Stimulus	S 63
182.276	0.001	182277	Stimulus	S103
182.654	0.001	182655	Stimulus	S 83
183.067	0.001	183068	Stimulus	S 83
183.454	0.001	183455	Stimulus	S 83
183.834	0.001	183835	Stimulus	S 83
184.257	0.001	184258	Stimulus	S 63
184.621	0.001	184622	Stimulus	S 83
184.996	0.001	184997	Stimulus	S 63
185.407	0.001	185408	Stimulus	S 63
185.808	0.001	185809	Stimulus	S 83
186.235	0.001	186236	Stimulus	S 83
186.644	0.001	186645	Stimulus	S103
187.07	0.001	187071	Stimulus	S 83
187.478	0.001	187479	Stimulus	S103
187.895	0.001	187896	Stimulus	S 83
188.33	0.001	188331	Stimulus	S103
188.672	0.001	188673	Stimulus	S103
189.099	0.001	189100	Stimulus	S 63
189.538	0.001	189539	Stimulus	S 83
189.946	0.001	189947	Stimulus	S103
190.383	0.001	190384	Stimulus	S 83
190.818	0.001	190819	Stimulus	S 83
191.284	0.001	191285	Stimulus	S103
191.657	0.001	191658	Stimulus	S103
192.046	0.001	192047	Stimulus	S 83
192.431	0.001	192432	Stimulus	S 83
192.816	0.001	192817	Stimulus	S 63
193.186	0.001	193187	Stimulus	S 83
193.622	0.001	193623	Stimulus	S 63
194.03	0.001	194031	Stimulus	S 83
194.43	0.001	194431	Stimulus	S 83
194.807	0.001	194808	Stimulus	S 83
195.242	0.001	195243	Stimulus	S 63
195.655	0.001	195656	Stimulus	S103
196.043	0.001	196044	Stimulus	S 83
196.473	0.001	196474	Stimulus	S 63
196.908	0.001	196909	Stimulus	S103
197.296	0.001	197297	Stimulus	S 83
197.724	0.001	197725	Stimulus	S 83
198.151	0.001	198152	Stimulus	S103
198.516	0.001	198517	Stimulus	S103
198.934	0.001	198935	Stimulus	S 63
199.362	0.001	199363	Stimulus	S 83
199.82	0.001	199821	Stimulus	S 83
200.241	0.001	200242	Stimulus	S103
200.685	0.001	200686	Stimulus	S 83
201.128	0.001	201129	Stimulus	S103
201.504	0.001	201505	Stimulus	S103
201.89	0.001	201891	Stimulus	S 83
202.324	0.001	202325	Stimulus	S 83
202.741	0.001	202742	Stimulus	S103
203.15	0.001	203151	Stimulus	S 83
203.561	0.001	203562	Stimulus	S 83
206.872	0.001	206873	Stimulus	S  4
207.275	0.001	207276	Stimulus	S  4
207.681	0.001	207682	Stimulus	S  4
208.086	0.001	208087	Stimulus	S  4
208.494	0.001	208495	Stimulus	S  4
208.901	0.001	208902	Stimulus	S  4
209.303	0.001	209304	Stimulus	S  4
209.71	0.001	209711	Stimulus	S  4
210.118	0.001	210119	Stimulus	S  4
210.527	0.001	210528	Stimulus	S  4
210.936	0.001	210937	Stimulus	S  4
211.346	0.001	211347	Stimulus	S  4
211.749	0.001	211750	Stimulus	S  4
212.156	0.001	212157	Stimulus	S  4
212.566	0.001	212567	Stimulus	S  4
212.975	0.001	212976	Stimulus	S  4
213.381	0.001	213382	Stimulus	S  4
