onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0.02	0.001	21	Comment	Active Shielding: On
170.866	0.001	170867	Stimulus	S  8
171.47	0.001	171471	Stimulus	S  8
172.081	0.001	172082	Stimulus	S  8
172.689	0.001	172690	Stimulus	S  8
173.297	0.001	173298	Stimulus	S  8
173.904	0.001	173905	Stimulus	S  8
174.515	0.001	174516	Stimulus	S  8
175.122	0.001	175123	Stimulus	S  8
175.728	0.001	175729	Stimulus	S  8
176.331	0.001	176332	Stimulus	S  8
176.935	0.001	176936	Stimulus	S  8
177.544	0.001	177545	Stimulus	S  8
178.151	0.001	178152	Stimulus	S  8
178.76	0.001	178761	Stimulus	S  8
179.363	0.001	179364	Stimulus	S  8
179.972	0.001	179973	Stimulus	S  8
180.581	0.001	180582	Stimulus	S  8
181.188	0.001	181189	Stimulus	S  8
181.797	0.001	181798	Stimulus	S  8
182.403	0.001	182404	Stimulus	S  8
183.013	0.001	183014	Stimulus	S  8
183.616	0.001	183617	Stimulus	S  8
184.219	0.001	184220	Stimulus	S  8
184.825	0.001	184826	Stimulus	S  8
185.443	0.001	185444	Stimulus	S 28
185.522	0.001	185523	Stimulus	S 48
186.208	0.001	186209	Stimulus	S 68
186.773	0.001	186774	Stimulus	S 88
187.282	0.001	187283	Stimulus	S 88
187.888	0.001	187889	Stimulus	S 68
188.477	0.001	188478	Stimulus	S 88
189.066	0.001	189067	Stimulus	S 88
189.719	0.001	189720	Stimulus	S128
190.308	0.001	190309	Stimulus	S 88
190.921	0.001	190922	Stimulus	S128
191.581	0.001	191582	Stimulus	S 88
192.194	0.001	192195	Stimulus	S108
192.814	0.001	192815	Stimulus	S 88
193.427	0.001	193428	Stimulus	S 88
194.015	0.001	194016	Stimulus	S 88
194.515	0.001	194516	Stimulus	S 88
195.103	0.001	195104	Stimulus	S 68
195.724	0.001	195725	Stimulus	S 88
196.337	0.001	196338	Stimulus	S108
196.925	0.001	196926	Stimulus	S 88
197.505	0.001	197506	Stimulus	S 68
198.095	0.001	198096	Stimulus	S 68
198.741	0.001	198742	Stimulus	S 88
199.346	0.001	199347	Stimulus	S108
200.015	0.001	200016	Stimulus	S 88
200.862	0.001	200863	Stimulus	S108
201.395	0.001	201396	Stimulus	S108
201.928	0.001	201929	Stimulus	S 68
202.525	0.001	202526	Stimulus	S 68
