blockLoop_thisRepN	trialLoop_thisRepN	firstKey	readyKey_corr	readyKey_rt	targetKey	blockType	margin	outcome	trialResp_keys	trialResp_corr	trialResp_rt
0	0	j	1	2.147490077157272	j	2	0.1	0	j	1	0.2943155893590301
0	1	n/a	n/a	n/a	f	2	0.11	1	f	1	0.4327899923664518
0	2	n/a	n/a	n/a	j	2	0.1	1	f	0	0.5327504206507001
0	3	n/a	n/a	n/a	j	2	0.09000000000000001	2	j	1	0.1243973727687262
0	4	n/a	n/a	n/a	j	2	0.1	0	j	1	0.6078844598087016
0	5	n/a	n/a	n/a	f	2	0.11	2	f	1	0.4836424657842144
0	6	n/a	n/a	n/a	j	2	0.12	1	j	1	0.3774201310588978
0	7	n/a	n/a	n/a	j	2	0.11	1	j	1	0.4372939805907663
0	8	n/a	n/a	n/a	j	2	0.1	1	f	0	0.5443804492824711
0	9	n/a	n/a	n/a	f	2	0.09000000000000001	2	f	1	0.8845527287048753
0	10	n/a	n/a	n/a	j	2	0.1	2	j	1	0.4097688477195334
0	11	n/a	n/a	n/a	j	2	0.11	1	j	1	0.4125132071785629
0	12	n/a	n/a	n/a	j	2	0.1	1	f	0	0.4095262287883088
0	13	n/a	n/a	n/a	f	2	0.09000000000000001	1	f	1	1.160535620496375
0	14	n/a	n/a	n/a	j	2	0.08000000000000002	2	j	1	0.46325363687356
0	15	n/a	n/a	n/a	j	2	0.09000000000000001	1	j	1	0.4360492399719078
0	16	n/a	n/a	n/a	j	2	0.08000000000000002	1	j	1	0.4313445422740187
0	17	n/a	n/a	n/a	f	2	0.07000000000000002	1	f	1	0.3874384970986284
0	18	n/a	n/a	n/a	j	2	0.06000000000000002	1	j	1	0.3289413888705894
0	19	n/a	n/a	n/a	j	2	0.05000000000000002	0	j	1	0.4709028332435992
0	20	n/a	n/a	n/a	j	2	0.06000000000000002	0	f	0	0.3718991959758569
0	21	n/a	n/a	n/a	f	2	0.07000000000000002	0	j	0	0.523224705044413
0	22	n/a	n/a	n/a	j	2	0.06000000000000002	0	f	0	1.032869021699298
0	23	n/a	n/a	n/a	j	2	0.07000000000000002	2	j	1	0.4901008051529061
0	24	n/a	n/a	n/a	j	2	0.08000000000000002	2	j	1	0.4295065113692544
0	25	n/a	n/a	n/a	f	2	0.09000000000000001	2	j	0	0.7371516023413278
0	26	n/a	n/a	n/a	j	2	0.08000000000000002	2	j	1	0.9745771844754927
0	27	n/a	n/a	n/a	j	2	0.09000000000000001	2	j	1	0.498968798230635
0	28	n/a	n/a	n/a	j	2	0.1	2	j	1	0.4650933783559594
0	29	n/a	n/a	n/a	f	2	0.11	1	f	1	0.4799852205032948
0	30	n/a	n/a	n/a	j	2	0.1	1	j	1	0.406886215438135
0	31	n/a	n/a	n/a	j	2	0.09000000000000001	1	j	1	0.556888011546107
0	32	n/a	n/a	n/a	j	2	0.08000000000000002	1	f	0	0.5530793788784649
0	33	n/a	n/a	n/a	f	2	0.09000000000000001	2	f	1	0.8518410814576782
0	34	n/a	n/a	n/a	j	2	0.1	2	j	1	0.4497217152093071
0	35	n/a	n/a	n/a	j	2	0.11	1	j	1	0.447534153383458
0	36	n/a	n/a	n/a	j	2	0.1	1	f	0	0.4513712959305849
0	37	n/a	n/a	n/a	f	2	0.09000000000000001	1	j	0	0.566618142882362
0	38	n/a	n/a	n/a	j	2	0.08000000000000002	1	f	0	0.7934560169524048
0	39	n/a	n/a	n/a	j	2	0.09000000000000001	2	j	1	0.5846440743189305
0	40	n/a	n/a	n/a	j	2	0.1	2	j	1	0.4285018237715121
0	41	n/a	n/a	n/a	f	2	0.11	2	j	0	0.4572064096864779
0	42	n/a	n/a	n/a	j	2	0.1	2	f	0	0.4305191817111336
0	43	n/a	n/a	n/a	j	2	0.09000000000000001	1	j	1	0.6126071187027264
0	44	n/a	n/a	n/a	j	2	0.08000000000000002	2	j	1	0.4094677835528273
0	45	n/a	n/a	n/a	f	2	0.09000000000000001	1	f	1	0.5574519366200548
0	46	n/a	n/a	n/a	j	2	0.08000000000000002	2	j	1	0.5324351015733555
0	47	n/a	n/a	n/a	j	2	0.09000000000000001	2	j	1	0.5300362816487905
0	48	n/a	n/a	n/a	j	2	0.1	2	j	1	1.093831948062871
0	49	n/a	n/a	n/a	f	2	0.11	2	f	1	0.4188232952728868
0	50	n/a	n/a	n/a	j	2	0.12	1	j	1	0.4643760701874271
0	51	n/a	n/a	n/a	j	2	0.11	1	j	1	0.4769805659598205
0	52	n/a	n/a	n/a	j	2	0.1	1	f	0	0.5134016315860208
0	53	n/a	n/a	n/a	f	2	0.09000000000000001	1	j	0	0.4361364801297896
0	54	n/a	n/a	n/a	j	2	0.1	1	j	1	0.4639247590384912
0	55	n/a	n/a	n/a	j	2	0.09000000000000001	1	j	1	0.5112944675493054
0	56	n/a	n/a	n/a	j	2	0.08000000000000002	2	j	1	0.4266121900000144
0	57	n/a	n/a	n/a	f	2	0.09000000000000001	2	j	0	0.5015754550695419
0	58	n/a	n/a	n/a	j	2	0.08000000000000002	2	j	1	0.7310841331782285
0	59	n/a	n/a	n/a	j	2	0.09000000000000001	2	j	1	0.5130737681174651
0	60	n/a	n/a	n/a	j	2	0.1	2	j	1	0.4857134222984314
0	61	n/a	n/a	n/a	f	2	0.11	1	f	1	0.7850866614317056
0	62	n/a	n/a	n/a	j	2	0.1	2	j	1	0.4548617585387547
