blockLoop_thisRepN	trialLoop_thisRepN	firstKey	readyKey_corr	readyKey_rt	targetKey	blockType	margin	outcome	trialResp_keys	trialResp_corr	trialResp_rt
0	0	f	1	3.286900533363223	f	9	0.1	0	f	1	0.9486973630264401
0	1	n/a	n/a	n/a	j	9	0.11	0	f	0	0.9217579765245318
0	2	n/a	n/a	n/a	f	9	0.1	0	j	0	0.9986919746734202
0	3	n/a	n/a	n/a	f	9	0.09000000000000001	1	f	1	1.06600708514452
0	4	n/a	n/a	n/a	f	9	0.08000000000000002	2	f	1	0.8641033782623708
0	5	n/a	n/a	n/a	j	9	0.09000000000000001	2	f	0	0.8917962764389813
0	6	n/a	n/a	n/a	f	9	0.1	2	j	0	1.032957499381155
0	7	n/a	n/a	n/a	f	9	0.09000000000000001	1	f	1	1.128006276674569
0	8	n/a	n/a	n/a	f	9	0.08000000000000002	2	f	1	0.8668197826482356
0	9	n/a	n/a	n/a	j	9	0.09000000000000001	2	f	0	0.958771551027894
0	10	n/a	n/a	n/a	f	9	0.1	2	j	0	0.9383318061009049
0	11	n/a	n/a	n/a	f	9	0.09000000000000001	1	f	1	1.310560449026525
0	12	n/a	n/a	n/a	f	9	0.08000000000000002	2	f	1	0.8274427535943687
0	13	n/a	n/a	n/a	j	9	0.09000000000000001	0	j	1	0.9354603090323508
0	14	n/a	n/a	n/a	f	9	0.1	1	f	1	0.898366907145828
0	15	n/a	n/a	n/a	f	9	0.09000000000000001	1	f	1	1.019467564299703
0	16	n/a	n/a	n/a	f	9	0.08000000000000002	1	f	1	0.9929615249857306
0	17	n/a	n/a	n/a	j	9	0.07000000000000002	1	j	1	0.9571801400743425
0	18	n/a	n/a	n/a	f	9	0.06000000000000002	1	f	1	0.9202652089297771
0	19	n/a	n/a	n/a	f	9	0.05000000000000002	0	f	1	1.004136187490076
0	20	n/a	n/a	n/a	f	9	0.06000000000000002	1	f	1	0.9368666927330196
0	21	n/a	n/a	n/a	j	9	0.05000000000000002	0	j	1	0.9969779718667269
0	22	n/a	n/a	n/a	f	9	0.06000000000000002	1	f	1	0.9309315434657037
0	23	n/a	n/a	n/a	f	9	0.05000000000000002	0	f	1	0.9858734435401857
0	24	n/a	n/a	n/a	f	9	0.06000000000000002	1	f	1	0.7967868424020708
0	25	n/a	n/a	n/a	j	9	0.05000000000000002	0	j	1	0.9878140985965729
0	26	n/a	n/a	n/a	f	9	0.06000000000000002	1	f	1	0.8546966025605798
0	27	n/a	n/a	n/a	f	9	0.05000000000000002	0	f	1	0.9156358032487333
0	28	n/a	n/a	n/a	f	9	0.06000000000000002	0	f	1	0.9076185901649296
0	29	n/a	n/a	n/a	j	9	0.07000000000000002	0	j	1	0.9127628807909787
0	30	n/a	n/a	n/a	f	9	0.08000000000000002	1	f	1	0.8464088328182697
0	31	n/a	n/a	n/a	f	9	0.07000000000000002	0	f	1	0.9862939612939954
0	32	n/a	n/a	n/a	f	9	0.08000000000000002	1	f	1	0.9344504955224693
0	33	n/a	n/a	n/a	j	9	0.07000000000000002	1	j	1	0.9644022169522941
0	34	n/a	n/a	n/a	f	9	0.06000000000000002	1	f	1	0.8169945189729333
0	35	n/a	n/a	n/a	f	9	0.05000000000000002	0	f	1	1.093309970572591
0	36	n/a	n/a	n/a	f	9	0.06000000000000002	2	f	1	0.8687376300804317
0	37	n/a	n/a	n/a	j	9	0.07000000000000002	0	j	1	0.8991640387102962
0	38	n/a	n/a	n/a	f	9	0.08000000000000002	0	f	1	0.8882408319041133
0	39	n/a	n/a	n/a	f	9	0.09000000000000001	0	f	1	0.9859418664127588
0	40	n/a	n/a	n/a	f	9	0.1	1	f	1	0.9649521694518626
0	41	n/a	n/a	n/a	j	9	0.09000000000000001	1	j	1	0.9318646653555334
0	42	n/a	n/a	n/a	f	9	0.08000000000000002	1	f	1	0.8891252027824521
0	43	n/a	n/a	n/a	f	9	0.07000000000000002	0	f	1	0.9957634587772191
0	44	n/a	n/a	n/a	f	9	0.08000000000000002	1	f	1	0.9218526291660964
0	45	n/a	n/a	n/a	j	9	0.07000000000000002	1	j	1	0.836731499992311
0	46	n/a	n/a	n/a	f	9	0.06000000000000002	0	f	1	0.8887414620257914
0	47	n/a	n/a	n/a	f	9	0.07000000000000002	0	f	1	0.7316478779539466
0	48	n/a	n/a	n/a	f	9	0.08000000000000002	0	f	1	0.7665651338174939
0	49	n/a	n/a	n/a	j	9	0.09000000000000001	0	j	1	0.84453603066504
0	50	n/a	n/a	n/a	f	9	0.1	0	f	1	0.8391665131784976
0	51	n/a	n/a	n/a	f	9	0.11	0	f	1	0.9881493728607893
0	52	n/a	n/a	n/a	f	9	0.12	1	f	1	0.8153118761256337
0	53	n/a	n/a	n/a	j	9	0.11	0	j	1	0.8783345655538142
0	54	n/a	n/a	n/a	f	9	0.12	1	f	1	0.8193574026226997
0	55	n/a	n/a	n/a	f	9	0.11	0	f	1	0.9341394542716444
0	56	n/a	n/a	n/a	f	9	0.12	1	f	1	0.8418261832557619
0	57	n/a	n/a	n/a	j	9	0.11	0	j	1	0.7911182590760291
0	58	n/a	n/a	n/a	f	9	0.12	0	f	1	0.8180727558210492
0	59	n/a	n/a	n/a	f	9	0.13	0	f	1	1.009072641842067
0	60	n/a	n/a	n/a	f	9	0.14	1	f	1	0.9479615278542042
0	61	n/a	n/a	n/a	j	9	0.13	1	j	1	0.9109108909033239
0	62	n/a	n/a	n/a	f	9	0.12	1	f	1	0.890577201731503
0	63	n/a	n/a	n/a	f	9	0.11	1	f	1	0.9129775590263307
0	64	n/a	n/a	n/a	f	9	0.1	1	f	1	0.9508971716277301
0	65	n/a	n/a	n/a	j	9	0.09000000000000002	1	j	1	0.8826751676388085
0	66	n/a	n/a	n/a	f	9	0.08000000000000003	0	f	1	0.9665966089814901
0	67	n/a	n/a	n/a	f	9	0.09000000000000002	1	f	1	0.8575837798416615
0	68	n/a	n/a	n/a	f	9	0.08000000000000003	0	f	1	0.9975723987445235
0	69	n/a	n/a	n/a	j	9	0.09000000000000002	1	j	1	0.8754425421357155
0	70	n/a	n/a	n/a	f	9	0.08000000000000003	0	f	1	0.87042968114838
0	71	n/a	n/a	n/a	f	9	0.09000000000000002	0	f	1	0.8903782037086785
1	0	f	1	0.03692006273195148	f	1	0.1	2	f	1	0.4375415169633925
1	1	n/a	n/a	n/a	j	1	0.11	1	j	1	0.3196020158939064
1	2	n/a	n/a	n/a	f	1	0.1	1	f	1	0.4134528157301247
1	3	n/a	n/a	n/a	f	1	0.09000000000000001	1	f	1	0.4246394517831504
1	4	n/a	n/a	n/a	f	1	0.08000000000000002	1	f	1	0.3074075616896152
1	5	n/a	n/a	n/a	j	1	0.07000000000000002	0	j	1	0.3925517834722996
1	6	n/a	n/a	n/a	f	1	0.08000000000000002	1	f	1	0.4368589948862791
1	7	n/a	n/a	n/a	f	1	0.07000000000000002	1	f	1	0.448075566906482
1	8	n/a	n/a	n/a	f	1	0.06000000000000002	2	f	1	0.324431274086237
1	9	n/a	n/a	n/a	j	1	0.07000000000000002	1	j	1	0.4172785324044526
1	10	n/a	n/a	n/a	f	1	0.06000000000000002	1	f	1	0.3810774842277169
1	11	n/a	n/a	n/a	f	1	0.05000000000000002	1	f	1	0.439908392727375
1	12	n/a	n/a	n/a	f	1	0.04000000000000001	2	f	1	0.309193124063313
1	13	n/a	n/a	n/a	j	1	0.05000000000000002	0	j	1	0.3923895633779466
1	14	n/a	n/a	n/a	f	1	0.06000000000000002	1	f	1	0.3864119346253574
1	15	n/a	n/a	n/a	f	1	0.05000000000000002	1	f	1	0.4301768913865089
1	16	n/a	n/a	n/a	f	1	0.04000000000000001	2	f	1	0.3232817631214857
1	17	n/a	n/a	n/a	j	1	0.05000000000000002	0	j	1	0.4231951502151787
1	18	n/a	n/a	n/a	f	1	0.06000000000000002	1	f	1	0.435294097289443
1	19	n/a	n/a	n/a	f	1	0.05000000000000002	1	j	0	0.4460798879154027
1	20	n/a	n/a	n/a	f	1	0.04000000000000001	1	j	0	0.5306214145384729
1	21	n/a	n/a	n/a	j	1	0.05000000000000002	1	f	0	0.5041607054881752
1	22	n/a	n/a	n/a	f	1	0.06000000000000002	1	j	0	0.4999980041757226
1	23	n/a	n/a	n/a	f	1	0.07000000000000002	1	j	0	0.5586518673226237
1	24	n/a	n/a	n/a	f	1	0.08000000000000002	1	j	0	0.3936893208883703
1	25	n/a	n/a	n/a	j	1	0.09000000000000001	1	f	0	0.4299465329386294
1	26	n/a	n/a	n/a	f	1	0.08000000000000002	1	j	0	0.4009142490103841
1	27	n/a	n/a	n/a	f	1	0.07000000000000002	1	f	1	0.3957864944823086
1	28	n/a	n/a	n/a	f	1	0.06000000000000002	1	f	1	0.3520369324833155
1	29	n/a	n/a	n/a	j	1	0.05000000000000002	1	j	1	0.3717599436640739
1	30	n/a	n/a	n/a	f	1	0.04000000000000001	1	f	1	0.3919687601737678
1	31	n/a	n/a	n/a	f	1	0.03000000000000001	1	f	1	0.4058013819158077
1	32	n/a	n/a	n/a	f	1	0.02000000000000001	2	f	1	0.3148232195526361
1	33	n/a	n/a	n/a	j	1	0.03000000000000001	0	j	1	0.3907639402896166
1	34	n/a	n/a	n/a	f	1	0.04000000000000001	1	f	1	0.3947102529928088
1	35	n/a	n/a	n/a	f	1	0.03000000000000001	1	f	1	0.3998263189569116
1	36	n/a	n/a	n/a	f	1	0.02000000000000001	1	f	1	0.3016696991398931
1	37	n/a	n/a	n/a	j	1	0.01000000000000001	0	j	1	0.3776491926982999
