blockLoop_thisRepN	trialLoop_thisRepN	trigger	firstKey	readyKey_corr	readyKey_rt	targetKey	blockType	margin	outcome	trialResp_keys	trialResp_corr	trialResp_rt
0	0	47	f	1	8.932067369576544	f	7	0.1	0	f	1	0.675667654722929
0	1	67	n/a	n/a	n/a	f	7	0.11	0	j	0	0.7751362905837595
0	2	127	n/a	n/a	n/a	j	7	0.1	0	f	0	0.7105341637507081
0	3	127	n/a	n/a	n/a	f	7	0.11	2	f	1	1.046550354454666
0	4	107	n/a	n/a	n/a	f	7	0.12	2	f	1	0.6638304265215993
0	5	107	n/a	n/a	n/a	f	7	0.13	1	f	1	0.6429425091482699
0	6	87	n/a	n/a	n/a	f	7	0.12	1	f	1	0.8627776773646474
0	7	87	n/a	n/a	n/a	f	7	0.11	2	f	1	0.6588714495301247
0	8	107	n/a	n/a	n/a	j	7	0.12	2	f	0	0.7396995876915753
0	9	127	n/a	n/a	n/a	f	7	0.11	2	f	1	0.6905671092681587
0	10	107	n/a	n/a	n/a	f	7	0.12	1	f	1	0.6492765094153583
0	11	87	n/a	n/a	n/a	f	7	0.11	1	f	1	0.7414589212276042
0	12	87	n/a	n/a	n/a	f	7	0.1	1	j	0	0.7594750565476716
0	13	127	n/a	n/a	n/a	f	7	0.11	2	f	1	0.620661607477814
0	14	107	n/a	n/a	n/a	j	7	0.12	2	f	0	0.6925379852764308
0	15	127	n/a	n/a	n/a	f	7	0.11	1	f	1	0.6453866455703974
0	16	87	n/a	n/a	n/a	f	7	0.1	1	f	1	0.6804641266353428
0	17	87	n/a	n/a	n/a	f	7	0.09000000000000002	1	j	0	0.7254053936339915
0	18	127	n/a	n/a	n/a	f	7	0.1	2	f	1	0.6192096085287631
0	19	107	n/a	n/a	n/a	f	7	0.11	1	f	1	0.6643855101428926
0	20	87	n/a	n/a	n/a	j	7	0.1	1	f	0	0.727194947656244
0	21	127	n/a	n/a	n/a	f	7	0.09000000000000002	2	f	1	0.6707970569841564
0	22	107	n/a	n/a	n/a	f	7	0.1	1	f	1	0.7006603986956179
0	23	87	n/a	n/a	n/a	f	7	0.09000000000000002	1	j	0	0.7122464561834931
0	24	127	n/a	n/a	n/a	f	7	0.1	2	f	1	0.6790671511553228
0	25	107	n/a	n/a	n/a	f	7	0.11	1	f	1	0.6849196222610772
0	26	87	n/a	n/a	n/a	j	7	0.1	2	j	1	0.7128291940316558
0	27	107	n/a	n/a	n/a	f	7	0.11	2	f	1	0.7174705737270415
0	28	107	n/a	n/a	n/a	f	7	0.12	2	f	1	0.745554625056684
0	29	107	n/a	n/a	n/a	f	7	0.13	2	f	1	0.7108397874981165
0	30	107	n/a	n/a	n/a	f	7	0.14	1	f	1	0.7179196015931666
0	31	87	n/a	n/a	n/a	f	7	0.13	2	f	1	0.7393651683814824
0	32	107	n/a	n/a	n/a	j	7	0.14	2	j	1	0.7266278900206089
0	33	107	n/a	n/a	n/a	f	7	0.15	1	f	1	0.6762244491837919
0	34	87	n/a	n/a	n/a	f	7	0.14	1	f	1	0.6986273718066514
0	35	87	n/a	n/a	n/a	f	7	0.13	1	f	1	0.7105532651767135
0	36	87	n/a	n/a	n/a	f	7	0.12	2	f	1	0.7185108927078545
0	37	107	n/a	n/a	n/a	f	7	0.13	2	f	1	0.6665687831118703
0	38	107	n/a	n/a	n/a	j	7	0.14	1	j	1	0.6675001950934529
0	39	87	n/a	n/a	n/a	f	7	0.13	1	f	1	0.6725347233004868
0	40	87	n/a	n/a	n/a	f	7	0.12	1	f	1	0.6804646970704198
0	41	87	n/a	n/a	n/a	f	7	0.11	1	f	1	0.6850724346004426
0	42	87	n/a	n/a	n/a	f	7	0.1	1	f	1	0.6995031898841262
0	43	87	n/a	n/a	n/a	f	7	0.09000000000000002	2	f	1	0.7190856481902301
0	44	107	n/a	n/a	n/a	j	7	0.1	2	j	1	0.7339258026331663
0	45	107	n/a	n/a	n/a	f	7	0.11	2	f	1	0.6842228453606367
0	46	107	n/a	n/a	n/a	f	7	0.12	1	f	1	0.7031361809931695
0	47	87	n/a	n/a	n/a	f	7	0.11	2	f	1	0.7330280323512852
0	48	107	n/a	n/a	n/a	f	7	0.12	2	f	1	0.7131912675686181
0	49	107	n/a	n/a	n/a	f	7	0.13	1	f	1	0.7171019432134926
0	50	87	n/a	n/a	n/a	j	7	0.12	2	j	1	0.7552248304709792
0	51	107	n/a	n/a	n/a	f	7	0.13	2	f	1	0.6379752638749778
0	52	107	n/a	n/a	n/a	f	7	0.14	1	f	1	0.7209042818285525
0	53	87	n/a	n/a	n/a	f	7	0.13	2	f	1	0.7158751711249352
0	54	107	n/a	n/a	n/a	f	7	0.14	1	f	1	0.7184034110978246
0	55	87	n/a	n/a	n/a	f	7	0.13	2	f	1	0.6983388541266322
0	56	107	n/a	n/a	n/a	j	7	0.14	1	j	1	0.6942673833109438
0	57	87	n/a	n/a	n/a	f	7	0.13	1	f	1	0.7066579847596586
0	58	87	n/a	n/a	n/a	f	7	0.12	2	f	1	0.6888331491500139
0	59	107	n/a	n/a	n/a	f	7	0.13	1	f	1	0.7184245083481073
