blockLoop_thisRepN	trialLoop_thisRepN	trigger	firstKey	readyKey_corr	readyKey_rt	targetKey	blockType	margin	outcome	trialResp_keys	trialResp_corr	trialResp_rt
0	0	130	j	0	4.008701755747097	j	10	0.1	0	j	1	0.9665269497272675
0	1	70	n/a	n/a	n/a	f	10	0.11	0	j	0	0.8598861091213621
0	2	130	n/a	n/a	n/a	j	10	0.1	0	j	1	0.9461016864097473
0	3	70	n/a	n/a	n/a	j	10	0.11	0	f	0	0.8321594905646634
0	4	130	n/a	n/a	n/a	j	10	0.1	0	j	1	0.8268073491381074
0	5	70	n/a	n/a	n/a	f	10	0.11	0	j	0	0.8967886011050723
0	6	130	n/a	n/a	n/a	j	10	0.12	1	j	1	0.7986348375852685
0	7	90	n/a	n/a	n/a	j	10	0.11	1	f	0	0.9544544824220793
0	8	130	n/a	n/a	n/a	j	10	0.12	1	j	1	0.9033418596591218
0	9	90	n/a	n/a	n/a	f	10	0.11	1	j	0	0.8436398096928315
0	10	130	n/a	n/a	n/a	j	10	0.1	0	j	1	1.193998804868897
0	11	70	n/a	n/a	n/a	j	10	0.11	0	f	0	3.864299423417833
0	12	130	n/a	n/a	n/a	j	10	0.12	2	j	1	1.035124336862282
0	13	110	n/a	n/a	n/a	f	10	0.13	2	j	0	0.8965422765850235
0	14	130	n/a	n/a	n/a	j	10	0.12	1	j	1	0.786718033690704
0	15	90	n/a	n/a	n/a	j	10	0.11	1	f	0	1.015237908432027
0	16	130	n/a	n/a	n/a	j	10	0.12	1	j	1	0.7860614534074557
0	17	90	n/a	n/a	n/a	f	10	0.11	1	j	0	0.9168703215436835
0	18	130	n/a	n/a	n/a	j	10	0.12	1	j	1	0.9798202059082541
0	19	90	n/a	n/a	n/a	j	10	0.11	1	f	0	0.8809058013976028
0	20	130	n/a	n/a	n/a	j	10	0.1	0	j	1	0.7419459865068347
0	21	70	n/a	n/a	n/a	f	10	0.11	0	j	0	0.9077263790750294
0	22	130	n/a	n/a	n/a	j	10	0.12	1	j	1	0.8627345214681554
0	23	90	n/a	n/a	n/a	j	10	0.11	1	f	0	0.9379213745814923
0	24	130	n/a	n/a	n/a	j	10	0.12	1	j	1	0.7815608991768386
0	25	90	n/a	n/a	n/a	f	10	0.11	1	j	0	0.8825012088145741
0	26	130	n/a	n/a	n/a	j	10	0.12	1	j	1	0.9003198227383109
0	27	90	n/a	n/a	n/a	j	10	0.11	1	j	1	5.631245923101233
0	28	90	n/a	n/a	n/a	j	10	0.1	1	f	0	2.176350394347537
0	29	130	n/a	n/a	n/a	f	10	0.11	2	f	1	1.946807588619777
0	30	110	n/a	n/a	n/a	j	10	0.12	2	j	1	3.087607995053986
0	31	110	n/a	n/a	n/a	j	10	0.13	2	f	0	1.067504607181036
0	32	130	n/a	n/a	n/a	j	10	0.14	1	j	1	1.415752167882601
0	33	90	n/a	n/a	n/a	f	10	0.13	1	j	0	1.330361378597445
0	34	130	n/a	n/a	n/a	j	10	0.14	2	j	1	1.148919992427182
0	35	110	n/a	n/a	n/a	j	10	0.15	2	j	1	1.485440624386683
0	36	110	n/a	n/a	n/a	j	10	0.16	2	j	1	1.20247390784607
0	37	110	n/a	n/a	n/a	f	10	0.17	2	f	1	1.205607418018189
0	38	110	n/a	n/a	n/a	j	10	0.18	2	j	1	1.092066354807685
0	39	110	n/a	n/a	n/a	j	10	0.1900000000000001	1	j	1	1.156029476833282
0	40	90	n/a	n/a	n/a	j	10	0.18	1	j	1	1.114095293376522
0	41	90	n/a	n/a	n/a	f	10	0.17	1	f	1	1.128414331526074
0	42	90	n/a	n/a	n/a	j	10	0.16	1	j	1	0.9070831983881362
0	43	90	n/a	n/a	n/a	j	10	0.15	1	j	1	1.006098242429289
0	44	90	n/a	n/a	n/a	j	10	0.14	1	j	1	0.9229161059738544
0	45	90	n/a	n/a	n/a	f	10	0.13	1	f	1	0.8977542274296866
0	46	90	n/a	n/a	n/a	j	10	0.12	1	j	1	0.8397439479431341
0	47	90	n/a	n/a	n/a	j	10	0.11	0	j	1	0.9407113418765221
0	48	70	n/a	n/a	n/a	j	10	0.12	1	j	1	0.8796197251194826
0	49	90	n/a	n/a	n/a	f	10	0.11	1	f	1	0.9257462720615877
0	50	90	n/a	n/a	n/a	j	10	0.1	1	j	1	0.8824803966745094
0	51	90	n/a	n/a	n/a	j	10	0.09000000000000002	0	j	1	0.9054079635807284
0	52	70	n/a	n/a	n/a	j	10	0.1	1	j	1	0.8941850877872639
0	53	90	n/a	n/a	n/a	f	10	0.09000000000000002	0	f	1	0.8854553924538777
0	54	70	n/a	n/a	n/a	j	10	0.1	1	j	1	0.9222615213730023
0	55	90	n/a	n/a	n/a	j	10	0.09000000000000002	1	j	1	0.9114805472054286
0	56	90	n/a	n/a	n/a	j	10	0.08000000000000003	1	j	1	0.8901221587166219
0	57	90	n/a	n/a	n/a	f	10	0.07000000000000003	0	f	1	0.9052055441261473
0	58	70	n/a	n/a	n/a	j	10	0.08000000000000003	1	j	1	0.8803338951656769
0	59	90	n/a	n/a	n/a	j	10	0.07000000000000003	0	j	1	0.8174535746693437
0	60	70	n/a	n/a	n/a	j	10	0.08000000000000003	0	j	1	0.8677887356698193
0	61	70	n/a	n/a	n/a	f	10	0.09000000000000002	0	f	1	0.871191948381238
0	62	70	n/a	n/a	n/a	j	10	0.1	0	j	1	0.9567617790999066
0	63	70	n/a	n/a	n/a	j	10	0.11	1	j	1	1.055935052434506
0	64	90	n/a	n/a	n/a	j	10	0.1	1	j	1	0.9008321435267135
0	65	90	n/a	n/a	n/a	f	10	0.09000000000000002	1	f	1	0.8819512551144726
0	66	90	n/a	n/a	n/a	j	10	0.08000000000000003	0	j	1	0.8618313315673731
0	67	70	n/a	n/a	n/a	j	10	0.09000000000000002	0	j	1	0.8938706248900417
0	68	70	n/a	n/a	n/a	j	10	0.1	1	j	1	0.8997487717988406
0	69	90	n/a	n/a	n/a	f	10	0.09000000000000002	1	f	1	0.9667604448441125
0	70	90	n/a	n/a	n/a	j	10	0.08000000000000003	1	j	1	0.8355071091991704
0	71	90	n/a	n/a	n/a	j	10	0.07000000000000003	0	j	1	0.8522982305676123
1	0	64	j	1	3.721056298836629	j	4	0.1	0	f	0	0.4353429498733021
1	1	124	n/a	n/a	n/a	j	4	0.11	0	f	0	0.3752659962683538
1	2	124	n/a	n/a	n/a	f	4	0.1	0	j	0	0.4311503012904723
1	3	124	n/a	n/a	n/a	j	4	0.09000000000000001	0	f	0	0.4620466374417447
1	4	124	n/a	n/a	n/a	j	4	0.08000000000000002	0	f	0	0.4380681999591616
1	5	124	n/a	n/a	n/a	j	4	0.07000000000000002	1	j	1	0.6420508454866649
1	6	84	n/a	n/a	n/a	j	4	0.06000000000000002	1	f	0	0.4540476478287019
1	7	124	n/a	n/a	n/a	j	4	0.07000000000000002	1	j	1	0.511246824011323
1	8	84	n/a	n/a	n/a	f	4	0.06000000000000002	1	j	0	0.4596521008279524
1	9	124	n/a	n/a	n/a	j	4	0.07000000000000002	1	f	0	0.665294300779351
1	10	124	n/a	n/a	n/a	j	4	0.08000000000000002	1	f	0	0.5028926025097462
1	11	124	n/a	n/a	n/a	j	4	0.09000000000000001	2	j	1	0.6349430716654751
1	12	104	n/a	n/a	n/a	j	4	0.1	2	f	0	0.6581742677535658
1	13	124	n/a	n/a	n/a	j	4	0.11	2	f	0	1.030599834413806
1	14	124	n/a	n/a	n/a	f	4	0.12	2	j	0	0.7177634189847595
1	15	124	n/a	n/a	n/a	j	4	0.13	2	f	0	0.1857264064456103
1	16	124	n/a	n/a	n/a	j	4	0.14	0	j	1	0.483702097864807
1	17	64	n/a	n/a	n/a	j	4	0.15	1	j	1	1.681631261319126
