blockLoop_thisRepN	trialLoop_thisRepN	trigger	firstKey	readyKey_corr	readyKey_rt	targetKey	blockType	margin	outcome	trialResp_keys	trialResp_corr	trialResp_rt
0	0	52	j	1	0.06854769040364772	j	12	0.1	0	j	1	5.341549020726234
0	1	72	n/a	n/a	n/a	j	12	0.11	2	j	1	1.023932319832966
0	2	112	n/a	n/a	n/a	f	12	0.12	1	f	1	1.178694122820161
0	3	92	n/a	n/a	n/a	j	12	0.11	2	j	1	0.9874402647837996
0	4	112	n/a	n/a	n/a	j	12	0.12	1	j	1	0.8524169806623831
0	5	92	n/a	n/a	n/a	j	12	0.11	0	j	1	0.9657750491751358
0	6	72	n/a	n/a	n/a	j	12	0.12	0	f	0	0.9352980050025508
0	7	132	n/a	n/a	n/a	j	12	0.11	1	j	1	0.9214838357875124
0	8	92	n/a	n/a	n/a	f	12	0.1	1	j	0	0.9482602996286005
0	9	132	n/a	n/a	n/a	j	12	0.09000000000000001	1	f	0	2.511156194726937
0	10	132	n/a	n/a	n/a	j	12	0.08000000000000002	2	j	1	1.026085384655744
0	11	112	n/a	n/a	n/a	j	12	0.09000000000000001	2	f	0	0.90812953049317
0	12	132	n/a	n/a	n/a	j	12	0.08000000000000002	0	j	1	2.253083484247327
0	13	72	n/a	n/a	n/a	j	12	0.09000000000000001	2	j	1	1.359995757695287
0	14	112	n/a	n/a	n/a	f	12	0.1	2	f	1	0.938745702849701
0	15	112	n/a	n/a	n/a	j	12	0.11	1	j	1	0.7414283669786528
0	16	92	n/a	n/a	n/a	j	12	0.1	0	j	1	0.9050185342784971
0	17	72	n/a	n/a	n/a	j	12	0.11	0	f	0	0.7151853225659579
0	18	132	n/a	n/a	n/a	j	12	0.1	0	j	1	14.75856479059439
0	19	72	n/a	n/a	n/a	j	12	0.11	2	j	1	0.6249550257343799
0	20	112	n/a	n/a	n/a	f	12	0.12	2	j	0	0.6997925622854382
0	21	132	n/a	n/a	n/a	j	12	0.13	0	j	1	0.6858147463062778
0	22	72	n/a	n/a	n/a	j	12	0.14	0	j	1	0.6327921021729708
0	23	72	n/a	n/a	n/a	j	12	0.15	0	f	0	0.6273421564837918
0	24	132	n/a	n/a	n/a	j	12	0.16	0	j	1	0.9263903832761571
0	25	72	n/a	n/a	n/a	j	12	0.17	1	j	1	0.5611191603820771
0	26	92	n/a	n/a	n/a	f	12	0.16	1	j	0	1.068474420113489
0	27	132	n/a	n/a	n/a	j	12	0.17	1	j	1	2.286247868090868
0	28	92	n/a	n/a	n/a	j	12	0.16	2	j	1	0.7601413860684261
0	29	112	n/a	n/a	n/a	j	12	0.17	0	j	1	1.018079244880937
0	30	72	n/a	n/a	n/a	j	12	0.18	1	j	1	0.4443815327249467
0	31	92	n/a	n/a	n/a	j	12	0.17	0	j	1	0.559202442294918
0	32	72	n/a	n/a	n/a	f	12	0.18	0	f	1	0.72202198789455
0	33	72	n/a	n/a	n/a	j	12	0.1900000000000001	0	j	1	0.7331984245683998
0	34	72	n/a	n/a	n/a	j	12	0.2000000000000001	0	j	1	0.6082978527992964
0	35	72	n/a	n/a	n/a	j	12	0.2100000000000001	0	j	1	0.6925801369361579
0	36	72	n/a	n/a	n/a	j	12	0.2200000000000001	0	f	0	1.030938618816435
