onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
197.58	0.001	197581	Stimulus	S  8
198.182	0.001	198183	Stimulus	S  8
198.785	0.001	198786	Stimulus	S  8
199.395	0.001	199396	Stimulus	S  8
199.998	0.001	199999	Stimulus	S  8
200.607	0.001	200608	Stimulus	S  8
201.217	0.001	201218	Stimulus	S  8
201.826	0.001	201827	Stimulus	S  8
202.435	0.001	202436	Stimulus	S  8
203.045	0.001	203046	Stimulus	S  8
203.648	0.001	203649	Stimulus	S  8
204.256	0.001	204257	Stimulus	S  8
204.866	0.001	204867	Stimulus	S  8
205.474	0.001	205475	Stimulus	S  8
206.083	0.001	206084	Stimulus	S  8
206.688	0.001	206689	Stimulus	S  8
207.292	0.001	207293	Stimulus	S  8
207.901	0.001	207902	Stimulus	S  8
208.504	0.001	208505	Stimulus	S  8
209.109	0.001	209110	Stimulus	S  8
209.719	0.001	209720	Stimulus	S  8
210.327	0.001	210328	Stimulus	S  8
210.934	0.001	210935	Stimulus	S  8
211.544	0.001	211545	Stimulus	S  8
212.156	0.001	212157	Stimulus	S 28
221.326	0.001	221327	Stimulus	S128
221.876	0.001	221877	Stimulus	S128
222.441	0.001	222442	Stimulus	S128
222.99	0.001	222991	Stimulus	S128
223.507	0.001	223508	Stimulus	S128
224.048	0.001	224049	Stimulus	S128
224.525	0.001	224526	Stimulus	S 88
225.171	0.001	225172	Stimulus	S 68
225.207	0.001	225208	Stimulus	S128
225.756	0.001	225757	Stimulus	S 68
226.362	0.001	226363	Stimulus	S 88
226.975	0.001	226976	Stimulus	S 88
227.508	0.001	227509	Stimulus	S128
228.056	0.001	228057	Stimulus	S 68
228.637	0.001	228638	Stimulus	S 88
229.137	0.001	229138	Stimulus	S 88
229.686	0.001	229687	Stimulus	S 68
230.259	0.001	230260	Stimulus	S 88
230.72	0.001	230721	Stimulus	S128
231.333	0.001	231334	Stimulus	S128
231.93	0.001	231931	Stimulus	S128
232.399	0.001	232400	Stimulus	S128
232.94	0.001	232941	Stimulus	S128
233.385	0.001	233386	Stimulus	S128
233.895	0.001	233896	Stimulus	S 68
234.42	0.001	234421	Stimulus	S 68
234.961	0.001	234962	Stimulus	S 68
235.502	0.001	235503	Stimulus	S 88
236.036	0.001	236037	Stimulus	S 88
236.528	0.001	236529	Stimulus	S 68
237.077	0.001	237078	Stimulus	S128
237.595	0.001	237596	Stimulus	S 88
238.087	0.001	238088	Stimulus	S 68
238.612	0.001	238613	Stimulus	S128
239.226	0.001	239227	Stimulus	S128
239.638	0.001	239639	Stimulus	S128
240.124	0.001	240125	Stimulus	S 68
240.674	0.001	240675	Stimulus	S 68
241.19	0.001	241191	Stimulus	S 88
241.635	0.001	241636	Stimulus	S 68
242.15	0.001	242151	Stimulus	S 68
242.665	0.001	242666	Stimulus	S 88
243.175	0.001	243176	Stimulus	S128
243.7	0.001	243701	Stimulus	S 88
244.113	0.001	244114	Stimulus	S 88
244.622	0.001	244623	Stimulus	S128
245.171	0.001	245172	Stimulus	S128
245.672	0.001	245673	Stimulus	S128
246.245	0.001	246246	Stimulus	S 68
246.778	0.001	246779	Stimulus	S 88
247.327	0.001	247328	Stimulus	S 88
247.876	0.001	247877	Stimulus	S 88
248.415	0.001	248416	Stimulus	S 88
248.899	0.001	248900	Stimulus	S 68
249.4	0.001	249401	Stimulus	S 68
250.069	0.001	250070	Stimulus	S128
250.61	0.001	250611	Stimulus	S 88
251.152	0.001	251153	Stimulus	S128
251.717	0.001	251718	Stimulus	S128
252.297	0.001	252298	Stimulus	S128
252.87	0.001	252871	Stimulus	S128
253.468	0.001	253469	Stimulus	S128
254.04	0.001	254041	Stimulus	S128
254.525	0.001	254526	Stimulus	S128
255.169	0.001	255170	Stimulus	S 68
255.758	0.001	255759	Stimulus	S 88
256.315	0.001	256316	Stimulus	S128
256.896	0.001	256897	Stimulus	S 68
257.374	0.001	257375	Stimulus	S 88
257.907	0.001	257908	Stimulus	S128
258.456	0.001	258457	Stimulus	S128
258.948	0.001	258949	Stimulus	S 68
317.675	0.001	317676	Stimulus	S  5
318.285	0.001	318286	Stimulus	S  5
318.893	0.001	318894	Stimulus	S  5
319.498	0.001	319499	Stimulus	S  5
320.102	0.001	320103	Stimulus	S  5
320.706	0.001	320707	Stimulus	S  5
321.316	0.001	321317	Stimulus	S  5
321.918	0.001	321919	Stimulus	S  5
322.521	0.001	322522	Stimulus	S  5
323.124	0.001	323125	Stimulus	S  5
323.726	0.001	323727	Stimulus	S  5
324.333	0.001	324334	Stimulus	S  5
324.938	0.001	324939	Stimulus	S  5
325.542	0.001	325543	Stimulus	S  5
326.145	0.001	326146	Stimulus	S  5
326.754	0.001	326755	Stimulus	S  5
327.358	0.001	327359	Stimulus	S  5
327.961	0.001	327962	Stimulus	S  5
328.569	0.001	328570	Stimulus	S  5
329.175	0.001	329176	Stimulus	S  5
329.785	0.001	329786	Stimulus	S  5
330.388	0.001	330389	Stimulus	S  5
330.998	0.001	330999	Stimulus	S  5
331.607	0.001	331608	Stimulus	S  5
332.206	0.001	332207	Stimulus	S 25
332.22	0.001	332221	Stimulus	S 65
332.834	0.001	332835	Stimulus	S 85
333.367	0.001	333368	Stimulus	S 85
333.932	0.001	333933	Stimulus	S 85
334.495	0.001	334496	Stimulus	S 85
335.013	0.001	335014	Stimulus	S125
335.61	0.001	335611	Stimulus	S125
336.214	0.001	336215	Stimulus	S 85
336.739	0.001	336740	Stimulus	S 85
337.32	0.001	337321	Stimulus	S125
337.854	0.001	337855	Stimulus	S125
338.379	0.001	338380	Stimulus	S 65
338.936	0.001	338937	Stimulus	S 65
339.533	0.001	339534	Stimulus	S125
340.106	0.001	340107	Stimulus	S125
340.647	0.001	340648	Stimulus	S 85
341.212	0.001	341213	Stimulus	S125
341.785	0.001	341786	Stimulus	S125
342.318	0.001	342319	Stimulus	S125
342.946	0.001	342947	Stimulus	S 65
343.607	0.001	343608	Stimulus	S 85
344.165	0.001	344166	Stimulus	S125
344.657	0.001	344658	Stimulus	S125
345.406	0.001	345407	Stimulus	S 65
346.043	0.001	346044	Stimulus	S105
346.504	0.001	346505	Stimulus	S125
347.237	0.001	347238	Stimulus	S125
347.889	0.001	347890	Stimulus	S105
348.51	0.001	348511	Stimulus	S125
349.131	0.001	349132	Stimulus	S 85
349.592	0.001	349593	Stimulus	S125
350.228	0.001	350229	Stimulus	S125
350.833	0.001	350834	Stimulus	S 85
351.51	0.001	351511	Stimulus	S 85
352.091	0.001	352092	Stimulus	S105
352.704	0.001	352705	Stimulus	S 85
353.421	0.001	353422	Stimulus	S 85
354.017	0.001	354018	Stimulus	S105
354.59	0.001	354591	Stimulus	S 85
355.163	0.001	355164	Stimulus	S 65
355.744	0.001	355745	Stimulus	S 65
356.389	0.001	356390	Stimulus	S 85
357.009	0.001	357010	Stimulus	S105
357.67	0.001	357671	Stimulus	S 85
358.298	0.001	358299	Stimulus	S105
358.911	0.001	358912	Stimulus	S 85
359.412	0.001	359413	Stimulus	S 85
359.954	0.001	359955	Stimulus	S 65
360.607	0.001	360608	Stimulus	S 65
361.211	0.001	361212	Stimulus	S105
361.768	0.001	361769	Stimulus	S 85
362.372	0.001	362373	Stimulus	S 65
363.033	0.001	363034	Stimulus	S 85
363.646	0.001	363647	Stimulus	S105
364.204	0.001	364205	Stimulus	S 85
364.785	0.001	364786	Stimulus	S 65
365.358	0.001	365359	Stimulus	S 85
366.018	0.001	366019	Stimulus	S 85
366.622	0.001	366623	Stimulus	S105
367.196	0.001	367197	Stimulus	S 85
367.793	0.001	367794	Stimulus	S 65
368.43	0.001	368431	Stimulus	S 85
368.987	0.001	368988	Stimulus	S105
369.535	0.001	369536	Stimulus	S 65
370.108	0.001	370109	Stimulus	S 65
370.711	0.001	370712	Stimulus	S 85
371.348	0.001	371349	Stimulus	S 85
371.929	0.001	371930	Stimulus	S 85
372.535	0.001	372536	Stimulus	S 85
373.076	0.001	373077	Stimulus	S 85
373.649	0.001	373650	Stimulus	S 65
374.214	0.001	374215	Stimulus	S 65
387.801	0.001	387802	Stimulus	S  1
388.206	0.001	388207	Stimulus	S  1
388.616	0.001	388617	Stimulus	S  1
389.017	0.001	389018	Stimulus	S  1
389.421	0.001	389422	Stimulus	S  1
389.83	0.001	389831	Stimulus	S  1
390.239	0.001	390240	Stimulus	S  1
390.648	0.001	390649	Stimulus	S  1
391.051	0.001	391052	Stimulus	S  1
391.459	0.001	391460	Stimulus	S  1
391.868	0.001	391869	Stimulus	S  1
392.278	0.001	392279	Stimulus	S  1
392.688	0.001	392689	Stimulus	S  1
393.097	0.001	393098	Stimulus	S  1
393.5	0.001	393501	Stimulus	S  1
393.909	0.001	393910	Stimulus	S  1
394.319	0.001	394320	Stimulus	S  1
