blockLoop_thisRepN	trialLoop_thisRepN	firstKey	readyKey_corr	readyKey_rt	targetKey	blockType	margin	outcome	trialResp_keys	trialResp_corr	trialResp_rt
0	0	j	1	0.06254750455264002	j	8	0.1	0	j	1	0.663482970194309
0	1	n/a	n/a	n/a	j	8	0.11	1	j	1	0.5456824947759742
0	2	n/a	n/a	n/a	f	8	0.1	1	f	1	0.4847723116836278
0	3	n/a	n/a	n/a	j	8	0.09000000000000001	0	j	1	0.5839504293253412
0	4	n/a	n/a	n/a	j	8	0.1	1	j	1	0.5694411895674421
0	5	n/a	n/a	n/a	j	8	0.09000000000000001	1	j	1	0.5647869543317938
0	6	n/a	n/a	n/a	j	8	0.08000000000000002	1	f	0	0.6318527020775946
0	7	n/a	n/a	n/a	j	8	0.07000000000000002	1	j	1	0.5703535052016377
0	8	n/a	n/a	n/a	f	8	0.06000000000000002	1	j	0	0.5894057917175815
0	9	n/a	n/a	n/a	j	8	0.05000000000000002	1	j	1	0.6402614012331469
0	10	n/a	n/a	n/a	j	8	0.04000000000000001	2	j	1	0.5965500784222968
0	11	n/a	n/a	n/a	j	8	0.05000000000000002	1	j	1	0.5995353462494677
0	12	n/a	n/a	n/a	j	8	0.04000000000000001	1	j	1	0.5954379086469999
0	13	n/a	n/a	n/a	j	8	0.03000000000000001	1	j	1	0.5665035332349362
0	14	n/a	n/a	n/a	f	8	0.02000000000000001	1	f	1	0.4823190379247535
0	15	n/a	n/a	n/a	j	8	0.01000000000000001	0	j	1	0.56626490567578
0	16	n/a	n/a	n/a	j	8	0.02000000000000001	1	j	1	0.6023609588155523
0	17	n/a	n/a	n/a	j	8	0.01000000000000001	2	j	1	0.5893057220964693
0	18	n/a	n/a	n/a	j	8	0.02000000000000001	1	j	1	0.568460735361441
0	19	n/a	n/a	n/a	j	8	0.01000000000000001	0	j	1	0.5571847992250696
0	20	n/a	n/a	n/a	f	8	0.02000000000000001	0	f	1	0.5683746355643962
0	21	n/a	n/a	n/a	j	8	0.03000000000000001	1	j	1	0.6271528510696953
0	22	n/a	n/a	n/a	j	8	0.02000000000000001	2	j	1	0.581050976208644
0	23	n/a	n/a	n/a	j	8	0.03000000000000001	1	j	1	0.648242167342687
0	24	n/a	n/a	n/a	j	8	0.02000000000000001	2	j	1	0.8271298721228959
0	25	n/a	n/a	n/a	j	8	0.03000000000000001	2	j	1	0.5159746467397781
0	26	n/a	n/a	n/a	f	8	0.04000000000000001	0	f	1	0.5110005308524705
0	27	n/a	n/a	n/a	j	8	0.05000000000000002	0	j	1	0.5779690599592868
0	28	n/a	n/a	n/a	j	8	0.06000000000000002	1	j	1	0.5088859542738646
0	29	n/a	n/a	n/a	j	8	0.05000000000000002	0	j	1	0.7291525899199769
0	30	n/a	n/a	n/a	j	8	0.06000000000000002	2	j	1	0.5478364149603294
0	31	n/a	n/a	n/a	j	8	0.07000000000000002	1	j	1	0.5199959629972
0	32	n/a	n/a	n/a	f	8	0.06000000000000002	0	f	1	0.4186847373639466
0	33	n/a	n/a	n/a	j	8	0.07000000000000002	0	j	1	0.5748167243291391
0	34	n/a	n/a	n/a	j	8	0.08000000000000002	1	j	1	0.6577593299880391
0	35	n/a	n/a	n/a	j	8	0.07000000000000002	2	j	1	0.724615815342986
0	36	n/a	n/a	n/a	j	8	0.08000000000000002	2	j	1	0.464746128214756
0	37	n/a	n/a	n/a	j	8	0.09000000000000001	0	j	1	0.5314515112841036
0	38	n/a	n/a	n/a	f	8	0.1	1	f	1	0.5666455123573542
0	39	n/a	n/a	n/a	j	8	0.09000000000000001	1	j	1	0.5861676414206158
0	40	n/a	n/a	n/a	j	8	0.08000000000000002	1	j	1	0.5735568734817207
0	41	n/a	n/a	n/a	j	8	0.07000000000000002	1	j	1	0.5705373938108096
0	42	n/a	n/a	n/a	j	8	0.06000000000000002	1	j	1	0.6234876230155351
0	43	n/a	n/a	n/a	j	8	0.05000000000000002	1	j	1	0.5676219751767348
0	44	n/a	n/a	n/a	f	8	0.04000000000000001	1	f	1	0.550386622257065
0	45	n/a	n/a	n/a	j	8	0.03000000000000001	0	j	1	0.5454760833672481
0	46	n/a	n/a	n/a	j	8	0.04000000000000001	0	j	1	0.6308776647492778
0	47	n/a	n/a	n/a	j	8	0.05000000000000002	1	j	1	0.7873195539432345
0	48	n/a	n/a	n/a	j	8	0.04000000000000001	2	j	1	0.6062283218052471
0	49	n/a	n/a	n/a	j	8	0.05000000000000002	1	j	1	0.6009351805405458
0	50	n/a	n/a	n/a	f	8	0.04000000000000001	1	f	1	0.7651762280147523
0	51	n/a	n/a	n/a	j	8	0.03000000000000001	2	j	1	0.5295008664252236
0	52	n/a	n/a	n/a	j	8	0.04000000000000001	0	j	1	0.5100160852598492
0	53	n/a	n/a	n/a	j	8	0.05000000000000002	0	j	1	0.554803655424621
0	54	n/a	n/a	n/a	j	8	0.06000000000000002	1	j	1	0.6642022740561515
0	55	n/a	n/a	n/a	j	8	0.05000000000000002	2	j	1	0.6199153371126158
0	56	n/a	n/a	n/a	f	8	0.06000000000000002	1	f	1	0.5851800597447436
0	57	n/a	n/a	n/a	j	8	0.05000000000000002	1	j	1	0.5969637565576704
0	58	n/a	n/a	n/a	j	8	0.04000000000000001	1	j	1	0.5689009276538854
0	59	n/a	n/a	n/a	j	8	0.03000000000000001	1	j	1	0.6275260451802751
0	60	n/a	n/a	n/a	j	8	0.02000000000000001	2	j	1	0.5995165297354106
0	61	n/a	n/a	n/a	j	8	0.03000000000000001	1	j	1	0.5957629211043241
0	62	n/a	n/a	n/a	f	8	0.02000000000000001	1	j	0	0.05074185517150909
0	63	n/a	n/a	n/a	j	8	0.01000000000000001	1	f	0	0.5795034608163405
0	64	n/a	n/a	n/a	j	8	0.02000000000000001	1	j	1	0.6697534295963123
0	65	n/a	n/a	n/a	j	8	0.01000000000000001	2	j	1	0.6417279486195184
0	66	n/a	n/a	n/a	j	8	0.02000000000000001	2	j	1	0.6773692694405327
0	67	n/a	n/a	n/a	j	8	0.03000000000000001	2	j	1	0.5043084105855087
0	68	n/a	n/a	n/a	f	8	0.04000000000000001	0	f	1	0.5395146708906395
0	69	n/a	n/a	n/a	j	8	0.05000000000000002	0	j	1	0.5831376131245634
0	70	n/a	n/a	n/a	j	8	0.06000000000000002	1	j	1	0.6840631002996815
0	71	n/a	n/a	n/a	j	8	0.05000000000000002	2	j	1	0.6161580221960321
1	0	j	1	0.06656768042012118	j	10	0.1	0	j	1	1.068054184710491
1	1	n/a	n/a	n/a	f	10	0.11	1	f	1	1.101497965253657
1	2	n/a	n/a	n/a	j	10	0.1	2	j	1	0.94069121593202
1	3	n/a	n/a	n/a	j	10	0.11	1	j	1	0.993789411324542
1	4	n/a	n/a	n/a	j	10	0.1	1	j	1	1.141677771258401
1	5	n/a	n/a	n/a	f	10	0.09000000000000001	2	f	1	0.978580539507675
1	6	n/a	n/a	n/a	j	10	0.1	1	j	1	1.031518794567091
1	7	n/a	n/a	n/a	j	10	0.09000000000000001	1	j	1	1.019525265161064
1	8	n/a	n/a	n/a	j	10	0.08000000000000002	1	j	1	1.046421755527263
1	9	n/a	n/a	n/a	f	10	0.07000000000000002	1	f	1	1.010528407510719
1	10	n/a	n/a	n/a	j	10	0.06000000000000002	1	j	1	0.9962170262151631
1	11	n/a	n/a	n/a	j	10	0.05000000000000002	1	j	1	1.071201673636097
1	12	n/a	n/a	n/a	j	10	0.04000000000000001	2	j	1	1.002036174453679
1	13	n/a	n/a	n/a	f	10	0.05000000000000002	1	f	1	1.084291692386614
1	14	n/a	n/a	n/a	j	10	0.04000000000000001	2	j	1	0.913238783221459
1	15	n/a	n/a	n/a	j	10	0.05000000000000002	0	j	1	0.995681040774798
1	16	n/a	n/a	n/a	j	10	0.06000000000000002	1	j	1	0.9927200063393684
1	17	n/a	n/a	n/a	f	10	0.05000000000000002	1	f	1	0.8912556827272056
1	18	n/a	n/a	n/a	j	10	0.04000000000000001	0	j	1	1.070871244330192
1	19	n/a	n/a	n/a	j	10	0.05000000000000002	2	j	1	1.041339587260154
1	20	n/a	n/a	n/a	j	10	0.06000000000000002	1	j	1	0.9496966265433002
1	21	n/a	n/a	n/a	f	10	0.05000000000000002	1	f	1	0.931671265308978
1	22	n/a	n/a	n/a	j	10	0.04000000000000001	0	j	1	0.9197615549055627
1	23	n/a	n/a	n/a	j	10	0.05000000000000002	0	j	1	1.114609366399236
1	24	n/a	n/a	n/a	j	10	0.06000000000000002	2	j	1	1.230454350297805
1	25	n/a	n/a	n/a	f	10	0.07000000000000002	2	f	1	1.417352186341304
1	26	n/a	n/a	n/a	j	10	0.08000000000000002	2	j	1	0.6933413502993062
1	27	n/a	n/a	n/a	j	10	0.09000000000000001	0	j	1	0.7201910845178645
1	28	n/a	n/a	n/a	j	10	0.1	0	j	1	1.117012462811545
1	29	n/a	n/a	n/a	f	10	0.11	2	f	1	1.293226797672105
1	30	n/a	n/a	n/a	j	10	0.12	2	j	1	1.199900044419337
1	31	n/a	n/a	n/a	j	10	0.13	2	j	1	0.9715930570528144
1	32	n/a	n/a	n/a	j	10	0.14	1	j	1	0.7590161018015351
1	33	n/a	n/a	n/a	f	10	0.13	0	f	1	0.858776675973786
1	34	n/a	n/a	n/a	j	10	0.14	1	j	1	1.160088585849735
1	35	n/a	n/a	n/a	j	10	0.13	2	j	1	0.9578148101863917
1	36	n/a	n/a	n/a	j	10	0.14	1	j	1	0.8914233207178768
1	37	n/a	n/a	n/a	f	10	0.13	1	f	1	0.9519543226342648
1	38	n/a	n/a	n/a	j	10	0.12	1	j	1	1.548628418968292
1	39	n/a	n/a	n/a	j	10	0.11	2	j	1	0.8724032503523631
1	40	n/a	n/a	n/a	j	10	0.12	1	j	1	0.9891961872053798
1	41	n/a	n/a	n/a	f	10	0.11	1	f	1	0.8785539683158277
1	42	n/a	n/a	n/a	j	10	0.1	0	j	1	0.9884606327250367
1	43	n/a	n/a	n/a	j	10	0.11	1	j	1	1.361488819282386
1	44	n/a	n/a	n/a	j	10	0.1	2	j	1	0.8743701458442956
1	45	n/a	n/a	n/a	f	10	0.11	0	f	1	1.046331094170455
1	46	n/a	n/a	n/a	j	10	0.12	1	j	1	0.7640706155070802
1	47	n/a	n/a	n/a	j	10	0.11	0	j	1	1.009698200286948
1	48	n/a	n/a	n/a	j	10	0.12	1	j	1	1.238933753920719
1	49	n/a	n/a	n/a	f	10	0.11	2	f	1	0.9407051857706392
1	50	n/a	n/a	n/a	j	10	0.12	1	j	1	1.169203474317328
1	51	n/a	n/a	n/a	j	10	0.11	2	j	1	0.8839580129570095
1	52	n/a	n/a	n/a	j	10	0.12	1	j	1	1.161619850623538
1	53	n/a	n/a	n/a	f	10	0.11	2	f	1	0.9529821032192558
1	54	n/a	n/a	n/a	j	10	0.12	1	j	1	1.16368966671871
1	55	n/a	n/a	n/a	j	10	0.11	2	j	1	0.935806050823885
1	56	n/a	n/a	n/a	j	10	0.12	1	j	1	0.9064525803987635
1	57	n/a	n/a	n/a	f	10	0.11	1	f	1	1.045582140053739
1	58	n/a	n/a	n/a	j	10	0.1	1	j	1	0.9695087009167764
1	59	n/a	n/a	n/a	j	10	0.09000000000000002	1	j	1	0.9903796316357329
1	60	n/a	n/a	n/a	j	10	0.08000000000000003	1	j	1	0.9613813941250555
1	61	n/a	n/a	n/a	f	10	0.07000000000000003	1	f	1	0.956302361926646
1	62	n/a	n/a	n/a	j	10	0.06000000000000003	1	j	1	0.9365071083593648
1	63	n/a	n/a	n/a	j	10	0.05000000000000003	0	j	1	0.9170853340183385
1	64	n/a	n/a	n/a	j	10	0.06000000000000003	0	j	1	1.224337559062405
1	65	n/a	n/a	n/a	f	10	0.07000000000000003	2	f	1	1.254037994513055
1	66	n/a	n/a	n/a	j	10	0.08000000000000003	2	j	1	0.7851676294376375
1	67	n/a	n/a	n/a	j	10	0.09000000000000002	0	j	1	0.6439411693281727
1	68	n/a	n/a	n/a	j	10	0.1	0	j	1	1.32698304632504
1	69	n/a	n/a	n/a	f	10	0.11	2	f	1	1.116842258925317
1	70	n/a	n/a	n/a	j	10	0.12	2	j	1	1.1769373450079
1	71	n/a	n/a	n/a	j	10	0.13	2	j	1	0.5869043362908997
2	0	j	1	0.05970763704681303	j	4	0.1	2	j	1	0.5071981703513302
2	1	n/a	n/a	n/a	j	4	0.11	2	j	1	0.5085726308607263
2	2	n/a	n/a	n/a	f	4	0.12	2	f	1	0.3699648017354775
2	3	n/a	n/a	n/a	j	4	0.13	1	j	1	0.4669222861120943
2	4	n/a	n/a	n/a	j	4	0.12	1	j	1	0.3761229322408326
2	5	n/a	n/a	n/a	j	4	0.11	1	j	1	0.443734073676751
2	6	n/a	n/a	n/a	j	4	0.1	1	j	1	0.3930848755699117
2	7	n/a	n/a	n/a	j	4	0.09000000000000002	1	j	1	0.429777925266535
2	8	n/a	n/a	n/a	f	4	0.08000000000000003	1	f	1	0.4006747714447556
