blockLoop_thisRepN	trialLoop_thisRepN	trigger	firstKey	readyKey_corr	readyKey_rt	targetKey	blockType	margin	outcome	trialResp_keys	trialResp_corr	trialResp_rt
0	0	43	f	1	0.005931762279942632	f	3	0.1	0	f	1	0.4384141331538558
0	1	63	n/a	n/a	n/a	f	3	0.11	1	f	1	0.4002112010493875
0	2	83	n/a	n/a	n/a	j	3	0.1	1	j	1	0.3948025947902352
0	3	83	n/a	n/a	n/a	f	3	0.09000000000000001	1	f	1	0.5182155220536515
0	4	83	n/a	n/a	n/a	f	3	0.08000000000000002	2	f	1	0.3622722703730687
0	5	103	n/a	n/a	n/a	f	3	0.09000000000000001	2	j	0	0.4471686568576843
0	6	123	n/a	n/a	n/a	f	3	0.08000000000000002	1	f	1	0.07416185282636434
0	7	83	n/a	n/a	n/a	f	3	0.07000000000000002	0	f	1	0.5043759789550677
0	8	63	n/a	n/a	n/a	j	3	0.08000000000000002	0	f	0	0.3870992297306657
0	9	123	n/a	n/a	n/a	f	3	0.09000000000000001	0	j	0	0.5911403318168595
0	10	123	n/a	n/a	n/a	f	3	0.08000000000000002	2	f	1	1.291007589898072
0	11	103	n/a	n/a	n/a	f	3	0.09000000000000001	2	f	1	0.4055864507099614
0	12	103	n/a	n/a	n/a	f	3	0.1	2	j	0	0.433072239975445
0	13	123	n/a	n/a	n/a	f	3	0.09000000000000001	1	f	1	0.755754858488217
0	14	83	n/a	n/a	n/a	j	3	0.08000000000000002	1	f	0	0.406547803315334
0	15	123	n/a	n/a	n/a	f	3	0.09000000000000001	1	f	1	0.4893524212529883
0	16	83	n/a	n/a	n/a	f	3	0.08000000000000002	1	j	0	0.7809122472535819
0	17	123	n/a	n/a	n/a	f	3	0.09000000000000001	2	f	1	0.4334574082167819
0	18	103	n/a	n/a	n/a	f	3	0.1	1	f	1	0.4122278233990073
0	19	83	n/a	n/a	n/a	f	3	0.09000000000000001	1	j	0	0.4716959776123986
0	20	123	n/a	n/a	n/a	j	3	0.08000000000000002	1	f	0	0.5008393304888159
0	21	123	n/a	n/a	n/a	f	3	0.09000000000000001	2	f	1	0.4729304547654465
0	22	103	n/a	n/a	n/a	f	3	0.1	2	j	0	0.3876129774143919
0	23	123	n/a	n/a	n/a	f	3	0.09000000000000001	1	f	1	0.4565868903882802
0	24	83	n/a	n/a	n/a	f	3	0.08000000000000002	1	f	1	0.4597566170850769
0	25	83	n/a	n/a	n/a	f	3	0.07000000000000002	1	j	0	0.4160028145415708
0	26	123	n/a	n/a	n/a	j	3	0.08000000000000002	1	f	0	0.4425560460658744
0	27	123	n/a	n/a	n/a	f	3	0.07000000000000002	1	f	1	0.4452890016837046
0	28	83	n/a	n/a	n/a	f	3	0.06000000000000002	1	j	0	0.4570393417961895
0	29	123	n/a	n/a	n/a	f	3	0.07000000000000002	2	f	1	0.4924679790856317
0	30	103	n/a	n/a	n/a	f	3	0.08000000000000002	2	f	1	0.4722579070366919
0	31	103	n/a	n/a	n/a	f	3	0.09000000000000001	2	j	0	0.4852065169252455
0	32	123	n/a	n/a	n/a	j	3	0.08000000000000002	2	f	0	0.4946968803415075
0	33	123	n/a	n/a	n/a	f	3	0.09000000000000001	2	f	1	0.4174445583485067
0	34	103	n/a	n/a	n/a	f	3	0.1	1	f	1	0.5083958697505295
0	35	83	n/a	n/a	n/a	f	3	0.09000000000000001	2	f	1	0.4562835454707965
0	36	103	n/a	n/a	n/a	f	3	0.1	1	f	1	0.4352558105019853
0	37	83	n/a	n/a	n/a	f	3	0.09000000000000001	1	j	0	0.502361471997574
0	38	123	n/a	n/a	n/a	j	3	0.08000000000000002	1	f	0	0.4807806456228718
0	39	123	n/a	n/a	n/a	f	3	0.09000000000000001	2	f	1	0.500193296931684
0	40	103	n/a	n/a	n/a	f	3	0.1	2	j	0	0.4868518210714683
0	41	123	n/a	n/a	n/a	f	3	0.11	1	f	1	0.5699181595118716
0	42	83	n/a	n/a	n/a	f	3	0.1	2	f	1	0.3731025973102078
0	43	103	n/a	n/a	n/a	f	3	0.11	1	f	1	0.5522648519836366
0	44	83	n/a	n/a	n/a	j	3	0.1	2	j	1	0.5170488983858377
0	45	103	n/a	n/a	n/a	f	3	0.11	2	f	1	0.4660393357044086
0	46	103	n/a	n/a	n/a	f	3	0.12	1	f	1	0.4856729382881895
0	47	83	n/a	n/a	n/a	f	3	0.11	1	f	1	0.7859944155206904
0	48	83	n/a	n/a	n/a	f	3	0.1	2	f	1	0.4854077965719625
0	49	103	n/a	n/a	n/a	f	3	0.11	1	f	1	0.4727211924036965
0	50	83	n/a	n/a	n/a	j	3	0.1	1	j	1	0.4366738910321146
0	51	83	n/a	n/a	n/a	f	3	0.09000000000000001	1	f	1	0.5039295144379139
0	52	83	n/a	n/a	n/a	f	3	0.08000000000000002	2	f	1	0.4740543136140332
0	53	103	n/a	n/a	n/a	f	3	0.09000000000000001	1	f	1	0.4785708462586626
0	54	83	n/a	n/a	n/a	f	3	0.08000000000000002	2	f	1	0.4504193516913801
0	55	103	n/a	n/a	n/a	f	3	0.09000000000000001	1	f	1	0.4977189258206636
0	56	83	n/a	n/a	n/a	j	3	0.08000000000000002	2	j	1	0.3965884526260197
0	57	103	n/a	n/a	n/a	f	3	0.09000000000000001	1	f	1	0.4157861395506188
0	58	83	n/a	n/a	n/a	f	3	0.08000000000000002	1	f	1	0.5084734165575355
0	59	83	n/a	n/a	n/a	f	3	0.07000000000000002	2	f	1	0.4964815977727994
0	60	103	n/a	n/a	n/a	f	3	0.08000000000000002	2	f	1	0.4751659132307395
0	61	103	n/a	n/a	n/a	f	3	0.09000000000000001	2	f	1	0.4635649645933881
0	62	103	n/a	n/a	n/a	j	3	0.1	1	j	1	0.490125608863309
0	63	83	n/a	n/a	n/a	f	3	0.09000000000000001	2	f	1	0.5332242544973269
0	64	103	n/a	n/a	n/a	f	3	0.1	2	f	1	0.4505904108518735
0	65	103	n/a	n/a	n/a	f	3	0.11	1	f	1	0.5331065088976175
0	66	83	n/a	n/a	n/a	f	3	0.1	2	f	1	0.4725142107345164
0	67	103	n/a	n/a	n/a	f	3	0.11	1	f	1	0.5223828088492155
0	68	83	n/a	n/a	n/a	j	3	0.1	2	j	1	0.5104166489327326
0	69	103	n/a	n/a	n/a	f	3	0.11	2	f	1	0.4583519360749051
0	70	103	n/a	n/a	n/a	f	3	0.12	1	f	1	0.4625788084231317
0	71	83	n/a	n/a	n/a	f	3	0.11	1	f	1	0.4831954310648143
1	0	85	f	1	0.002714138943701982	f	5	0.1	0	f	1	0.6273681005695835
1	1	65	n/a	n/a	n/a	j	5	0.11	1	j	1	0.6691002686275169
1	2	85	n/a	n/a	n/a	f	5	0.1	1	f	1	0.6172288525849581
1	3	85	n/a	n/a	n/a	f	5	0.09000000000000001	1	f	1	0.6597427611704916
1	4	85	n/a	n/a	n/a	f	5	0.08000000000000002	1	f	1	0.5540170683525503
1	5	85	n/a	n/a	n/a	j	5	0.07000000000000002	1	j	1	0.6301352679729462
1	6	85	n/a	n/a	n/a	f	5	0.06000000000000002	1	f	1	0.601880282512866
1	7	85	n/a	n/a	n/a	f	5	0.05000000000000002	1	f	1	0.6240367229329422
1	8	85	n/a	n/a	n/a	f	5	0.04000000000000001	1	f	1	0.6597695604432374
1	9	85	n/a	n/a	n/a	j	5	0.03000000000000001	2	j	1	0.6317834231304005
1	10	105	n/a	n/a	n/a	f	5	0.04000000000000001	2	j	0	0.6857255104696378
1	11	125	n/a	n/a	n/a	f	5	0.05000000000000002	2	f	1	0.07371567341033369
1	12	105	n/a	n/a	n/a	f	5	0.06000000000000002	0	f	1	0.9289653942687437
1	13	65	n/a	n/a	n/a	j	5	0.07000000000000002	0	f	0	0.6056629712693393
1	14	125	n/a	n/a	n/a	f	5	0.08000000000000002	0	j	0	0.6168351314263418
1	15	125	n/a	n/a	n/a	f	5	0.07000000000000002	1	f	1	0.5975713017396629
1	16	85	n/a	n/a	n/a	f	5	0.06000000000000002	1	f	1	0.6087599977618083
1	17	85	n/a	n/a	n/a	j	5	0.05000000000000002	1	j	1	0.5654985605506226
1	18	85	n/a	n/a	n/a	f	5	0.04000000000000001	1	f	1	0.6021009489195421
1	19	85	n/a	n/a	n/a	f	5	0.03000000000000001	1	f	1	0.6054782273713499
1	20	85	n/a	n/a	n/a	f	5	0.02000000000000001	2	f	1	0.6175091046607122
1	21	105	n/a	n/a	n/a	j	5	0.03000000000000001	1	j	1	0.5733302200678736
1	22	85	n/a	n/a	n/a	f	5	0.02000000000000001	1	f	1	0.6245313691906631
1	23	85	n/a	n/a	n/a	f	5	0.01000000000000001	2	f	1	0.6192613209132105
1	24	105	n/a	n/a	n/a	f	5	0.02000000000000001	2	f	1	0.6330156194744632
1	25	105	n/a	n/a	n/a	j	5	0.03000000000000001	2	j	1	0.5805486324243248
1	26	105	n/a	n/a	n/a	f	5	0.04000000000000001	1	f	1	0.6471471034456044
1	27	85	n/a	n/a	n/a	f	5	0.03000000000000001	2	f	1	0.5862372054252774
1	28	105	n/a	n/a	n/a	f	5	0.04000000000000001	1	f	1	0.6205322905443609
1	29	85	n/a	n/a	n/a	j	5	0.03000000000000001	2	j	1	0.6323262508958578
1	30	105	n/a	n/a	n/a	f	5	0.04000000000000001	2	f	1	0.651874894159846
1	31	105	n/a	n/a	n/a	f	5	0.05000000000000002	2	f	1	0.7206500932807103
1	32	105	n/a	n/a	n/a	f	5	0.06000000000000002	2	f	1	0.6199198986869305
1	33	105	n/a	n/a	n/a	j	5	0.07000000000000002	1	j	1	0.6081190959084779
1	34	85	n/a	n/a	n/a	f	5	0.06000000000000002	1	f	1	0.6309138722717762
1	35	85	n/a	n/a	n/a	f	5	0.05000000000000002	1	f	1	0.6443696726346388
1	36	85	n/a	n/a	n/a	f	5	0.04000000000000001	2	f	1	0.5841183523880318
1	37	105	n/a	n/a	n/a	j	5	0.05000000000000002	1	j	1	0.660806464147754
1	38	85	n/a	n/a	n/a	f	5	0.04000000000000001	2	f	1	0.640591545496136
1	39	105	n/a	n/a	n/a	f	5	0.05000000000000002	2	f	1	0.6917328238487244
